Type	PairSize	AverageDrop
bestRouting	1	1695.000000
MDF2BestRouting	1	1768.000000
MDPF2Routing	1	16.000000
bestRouting	2	3365.000000
MDF2BestRouting	2	3988.000000
MDPF2Routing	2	791.000000
bestRouting	3	5733.000000
MDF2BestRouting	3	5308.000000
MDPF2Routing	3	3540.000000
bestRouting	4	5424.000000
MDF2BestRouting	4	5357.000000
MDPF2Routing	4	2277.000000
bestRouting	5	9488.000000
MDF2BestRouting	5	10705.000000
MDPF2Routing	5	3902.000000
bestRouting	6	9911.000000
MDF2BestRouting	6	9794.000000
MDPF2Routing	6	6476.000000
bestRouting	7	8164.000000
MDF2BestRouting	7	8796.000000
MDPF2Routing	7	2826.000000
bestRouting	8	11674.000000
MDF2BestRouting	8	11671.000000
MDPF2Routing	8	8122.000000
bestRouting	9	16229.000000
MDF2BestRouting	9	16835.000000
MDPF2Routing	9	6782.000000
bestRouting	10	19229.000000
MDF2BestRouting	10	19170.000000
MDPF2Routing	10	12401.000000
bestRouting	11	17721.000000
MDF2BestRouting	11	18819.000000
MDPF2Routing	11	8815.000000
bestRouting	12	18458.000000
MDF2BestRouting	12	18017.000000
MDPF2Routing	12	13578.000000
bestRouting	13	20344.000000
MDF2BestRouting	13	20799.000000
MDPF2Routing	13	8608.000000
bestRouting	14	19505.000000
MDF2BestRouting	14	21596.000000
MDPF2Routing	14	7609.000000
bestRouting	15	26952.000000
MDF2BestRouting	15	27445.000000
MDPF2Routing	15	15494.000000
bestRouting	16	24721.000000
MDF2BestRouting	16	25500.000000
MDPF2Routing	16	10445.000000
bestRouting	17	24328.000000
MDF2BestRouting	17	24796.000000
MDPF2Routing	17	11409.000000
bestRouting	18	30417.000000
MDF2BestRouting	18	31023.000000
MDPF2Routing	18	13828.000000
bestRouting	19	33536.000000
MDF2BestRouting	19	35739.000000
MDPF2Routing	19	16239.000000
bestRouting	20	27799.000000
MDF2BestRouting	20	27663.000000
MDPF2Routing	20	13152.000000
