Type	PairSize	Time
bestRouting	1	10.513900
MDF2BestRouting	1	4.418740
MDPF2Routing	1	9.163540
bestRouting	2	12.038300
MDF2BestRouting	2	10.764200
MDPF2Routing	2	16.167600
bestRouting	3	12.193900
MDF2BestRouting	3	12.154600
MDPF2Routing	3	13.154400
bestRouting	4	12.647300
MDF2BestRouting	4	11.222300
MDPF2Routing	4	16.754100
bestRouting	5	17.273000
MDF2BestRouting	5	15.268600
MDPF2Routing	5	16.382200
bestRouting	6	18.222700
MDF2BestRouting	6	16.206400
MDPF2Routing	6	16.206400
bestRouting	7	23.760000
MDF2BestRouting	7	15.655800
MDPF2Routing	7	17.789800
bestRouting	8	18.157200
MDF2BestRouting	8	18.157200
MDPF2Routing	8	18.195600
bestRouting	9	18.437800
MDF2BestRouting	9	18.438100
MDPF2Routing	9	18.685900
bestRouting	10	20.923000
MDF2BestRouting	10	20.493000
MDPF2Routing	10	21.240600
bestRouting	11	23.087900
MDF2BestRouting	11	21.220600
MDPF2Routing	11	23.758000
bestRouting	12	24.274900
MDF2BestRouting	12	21.272300
MDPF2Routing	12	21.965800
bestRouting	13	21.544900
MDF2BestRouting	13	25.542100
MDPF2Routing	13	21.590100
bestRouting	14	30.462400
MDF2BestRouting	14	21.275300
MDPF2Routing	14	25.374600
bestRouting	15	25.210200
MDF2BestRouting	15	25.210200
MDPF2Routing	15	25.210200
bestRouting	16	27.327200
MDF2BestRouting	16	25.370900
MDPF2Routing	16	29.658300
bestRouting	17	28.871500
MDF2BestRouting	17	27.315200
MDPF2Routing	17	27.673100
bestRouting	18	31.215800
MDF2BestRouting	18	28.216000
MDPF2Routing	18	32.387500
bestRouting	19	28.598500
MDF2BestRouting	19	28.548900
MDPF2Routing	19	31.677000
bestRouting	20	36.235400
MDF2BestRouting	20	29.339500
MDPF2Routing	20	29.336900
