Type	PairSize	AverageDrop
BestRoute	1	1695.000000
MDPF-3	1	0.000000
MDPF-2	1	16.000000
BestRoute	2	3365.000000
MDPF-3	2	26.000000
MDPF-2	2	791.000000
BestRoute	3	5733.000000
MDPF-3	3	2018.000000
MDPF-2	3	3540.000000
BestRoute	4	5424.000000
MDPF-3	4	195.000000
MDPF-2	4	2277.000000
BestRoute	5	9488.000000
MDPF-3	5	1514.000000
MDPF-2	5	3902.000000
BestRoute	6	9911.000000
MDPF-3	6	3979.000000
MDPF-2	6	6476.000000
BestRoute	7	8164.000000
MDPF-3	7	220.000000
MDPF-2	7	2826.000000
BestRoute	8	11674.000000
MDPF-3	8	5457.000000
MDPF-2	8	8122.000000
BestRoute	9	16229.000000
MDPF-3	9	3371.000000
MDPF-2	9	6782.000000
BestRoute	10	19229.000000
MDPF-3	10	6137.000000
MDPF-2	10	12401.000000
BestRoute	11	17721.000000
MDPF-3	11	3975.000000
MDPF-2	11	8815.000000
BestRoute	12	18458.000000
MDPF-3	12	7045.000000
MDPF-2	12	13578.000000
BestRoute	13	20344.000000
MDPF-3	13	2488.000000
MDPF-2	13	8608.000000
BestRoute	14	19505.000000
MDPF-3	14	3500.000000
MDPF-2	14	7609.000000
BestRoute	15	26952.000000
MDPF-3	15	10590.000000
MDPF-2	15	15494.000000
BestRoute	16	24721.000000
MDPF-3	16	3506.000000
MDPF-2	16	10445.000000
BestRoute	17	24328.000000
MDPF-3	17	6003.000000
MDPF-2	17	11409.000000
BestRoute	18	30417.000000
MDPF-3	18	4572.000000
MDPF-2	18	13828.000000
BestRoute	19	33536.000000
MDPF-3	19	8759.000000
MDPF-2	19	16239.000000
BestRoute	20	27799.000000
MDPF-3	20	4743.000000
MDPF-2	20	13152.000000
