Type	PairSize	Time
BestRoute	1	10.513900
MDPF-3	1	6.808130
MDPF-2	1	9.163540
BestRoute	2	12.038300
MDPF-3	2	24.364600
MDPF-2	2	16.167600
BestRoute	3	12.193900
MDPF-3	3	14.151200
MDPF-2	3	13.154400
BestRoute	4	12.647300
MDPF-3	4	26.938600
MDPF-2	4	16.754100
BestRoute	5	17.273000
MDPF-3	5	18.119500
MDPF-2	5	16.382200
BestRoute	6	18.222700
MDPF-3	6	16.206400
MDPF-2	6	16.206400
BestRoute	7	23.760000
MDPF-3	7	23.369200
MDPF-2	7	17.789800
BestRoute	8	18.157200
MDPF-3	8	16.555700
MDPF-2	8	18.195600
BestRoute	9	18.437800
MDPF-3	9	21.284800
MDPF-2	9	18.685900
BestRoute	10	20.923000
MDPF-3	10	24.557000
MDPF-2	10	21.240600
BestRoute	11	23.087900
MDPF-3	11	27.878600
MDPF-2	11	23.758000
BestRoute	12	24.274900
MDPF-3	12	23.668900
MDPF-2	12	21.965800
BestRoute	13	21.544900
MDPF-3	13	20.119000
MDPF-2	13	21.590100
BestRoute	14	30.462400
MDPF-3	14	38.730700
MDPF-2	14	25.374600
BestRoute	15	25.210200
MDPF-3	15	36.649800
MDPF-2	15	25.210200
BestRoute	16	27.327200
MDPF-3	16	28.416700
MDPF-2	16	29.658300
BestRoute	17	28.871500
MDPF-3	17	39.324900
MDPF-2	17	27.673100
BestRoute	18	31.215800
MDPF-3	18	35.953400
MDPF-2	18	32.387500
BestRoute	19	28.598500
MDPF-3	19	38.974800
MDPF-2	19	31.677000
BestRoute	20	36.235400
MDPF-3	20	30.990900
MDPF-2	20	29.336900
