Type	Frequency	DropRate
BestRoute	100	0.0
EPF	100	0.0
BestRoute	200	0.0
EPF	200	0.0
BestRoute	300	0.0
EPF	300	0.0
BestRoute	400	0.0
EPF	400	0.0
BestRoute	500	14.24
EPF	500	0.0
BestRoute	600	64.94
EPF	600	0.0
BestRoute	700	115.66
EPF	700	0.0
BestRoute	800	166.22
EPF	800	0.0
BestRoute	900	216.7
EPF	900	0.0
BestRoute	1000	267.32
EPF	1000	0.04
BestRoute	1100	317.8
EPF	1100	0.62
BestRoute	1200	365.8
EPF	1200	1.46
BestRoute	1300	408.88
EPF	1300	6.96
BestRoute	1400	457.68
EPF	1400	14.16
BestRoute	1500	507.18
EPF	1500	37.22
BestRoute	1600	559.6
EPF	1600	67.72
BestRoute	1700	613.94
EPF	1700	98.92
BestRoute	1800	674.58
EPF	1800	130.3
BestRoute	1900	745.62
EPF	1900	162.52
BestRoute	2000	810.7
EPF	2000	201.46
BestRoute	2100	883.58
EPF	2100	242.02
BestRoute	2200	957.88
EPF	2200	277.22
BestRoute	2300	1031.18
EPF	2300	309.84
BestRoute	2400	1115.36
EPF	2400	363.2
BestRoute	2500	1197.58
EPF	2500	421.88
BestRoute	2600	1583.22
EPF	2600	479.62
BestRoute	2700	1676.34
EPF	2700	534.28
BestRoute	2800	1761.02
EPF	2800	571.62
BestRoute	2900	1844.8
EPF	2900	617.22
BestRoute	3000	1895.64
EPF	3000	666.9
BestRoute	3100	1958.62
EPF	3100	705.46
BestRoute	3200	2050.46
EPF	3200	751.02
BestRoute	3300	2061.24
EPF	3300	794.46
BestRoute	3400	2133.48
EPF	3400	826.2
BestRoute	3500	2200.96
EPF	3500	887.66
BestRoute	3600	2288.42
EPF	3600	948.08
BestRoute	3700	2372.3
EPF	3700	1021.34
BestRoute	3800	2460.96
EPF	3800	1077.82
BestRoute	3900	2542.84
EPF	3900	1132.54
BestRoute	4000	2623.34
EPF	4000	1193.02
BestRoute	4100	2697.72
EPF	4100	1244.16
BestRoute	4200	2792.26
EPF	4200	1311.2
BestRoute	4300	2875.32
EPF	4300	1368.22
BestRoute	4400	2976.06
EPF	4400	1404.22
BestRoute	4500	3057.32
EPF	4500	1472.32
BestRoute	4600	3145.02
EPF	4600	1514.2
BestRoute	4700	3248.04
EPF	4700	1574.0
BestRoute	4800	3347.44
EPF	4800	1615.46
BestRoute	4900	3422.04
EPF	4900	1674.92
BestRoute	5000	3519.38
EPF	5000	1705.78
