Type	Frequency	AverageFlow
bestRouting	100	102.825540816
entropyRouting	100	94.1404653061
bestRouting	200	205.657040816
entropyRouting	200	188.582285714
bestRouting	300	308.487673469
entropyRouting	300	284.303877551
bestRouting	400	411.29722449
entropyRouting	400	377.532469388
bestRouting	500	498.662081633
entropyRouting	500	474.858061224
bestRouting	600	549.954755102
entropyRouting	600	567.629795918
bestRouting	700	601.115612245
entropyRouting	700	662.883877551
bestRouting	800	652.489
entropyRouting	800	750.27022449
bestRouting	900	703.840816327
entropyRouting	900	842.649020408
bestRouting	1000	755.125408163
entropyRouting	1000	922.890938776
bestRouting	1100	806.164857143
entropyRouting	1100	997.230673469
bestRouting	1200	844.745306122
entropyRouting	1200	1054.85744898
bestRouting	1300	852.494530612
entropyRouting	1300	1109.37779592
bestRouting	1400	859.521755102
entropyRouting	1400	1134.07089796
bestRouting	1500	866.275693878
entropyRouting	1500	1076.0974898
bestRouting	1600	872.280265306
entropyRouting	1600	1080.487
bestRouting	1700	875.688591837
entropyRouting	1700	1070.26518367
bestRouting	1800	877.086959184
entropyRouting	1800	1064.58044898
bestRouting	1900	875.386020408
entropyRouting	1900	1048.86542857
bestRouting	2000	878.144510204
entropyRouting	2000	1046.79871429
bestRouting	2100	879.61544898
entropyRouting	2100	1034.86034694
bestRouting	2200	878.51077551
entropyRouting	2200	1033.94008163
bestRouting	2300	880.838918367
entropyRouting	2300	1025.4367551
bestRouting	2400	881.83655102
entropyRouting	2400	1020.103
bestRouting	2500	881.840020408
entropyRouting	2500	1016.82734694
bestRouting	2600	722.300591837
entropyRouting	2600	1014.82632653
bestRouting	2700	734.259489796
entropyRouting	2700	1016.37391837
bestRouting	2800	744.33855102
entropyRouting	2800	1006.84840816
bestRouting	2900	747.531061224
entropyRouting	2900	997.937040816
bestRouting	3000	741.778265306
entropyRouting	3000	1001.34377551
bestRouting	3100	753.292244898
entropyRouting	3100	997.320163265
bestRouting	3200	764.057530612
entropyRouting	3200	991.37144898
bestRouting	3300	759.910653061
entropyRouting	3300	999.086285714
bestRouting	3400	762.274469388
entropyRouting	3400	995.356387755
bestRouting	3500	761.661163265
entropyRouting	3500	992.542489796
bestRouting	3600	766.253204082
entropyRouting	3600	991.646959184
bestRouting	3700	766.334979592
entropyRouting	3700	997.092265306
bestRouting	3800	768.465795918
entropyRouting	3800	1000.90408163
bestRouting	3900	768.946183673
entropyRouting	3900	1003.07018367
bestRouting	4000	772.587020408
entropyRouting	4000	1000.85430612
bestRouting	4100	777.341510204
entropyRouting	4100	1006.03779592
bestRouting	4200	782.606204082
entropyRouting	4200	1000.03585714
bestRouting	4300	782.822591837
entropyRouting	4300	1013.41957143
bestRouting	4400	790.095265306
entropyRouting	4400	1008.09259184
bestRouting	4500	787.92677551
entropyRouting	4500	1006.31789796
bestRouting	4600	792.132306122
entropyRouting	4600	1009.13453061
bestRouting	4700	793.951122449
entropyRouting	4700	1007.98030612
bestRouting	4800	796.40055102
entropyRouting	4800	1003.35312245
bestRouting	4900	791.696693878
entropyRouting	4900	1008.02567347
bestRouting	5000	796.938795918
entropyRouting	5000	1004.91481633
