Type	Frequency	AverageDelay
BestRoute	100	123.197536
MDPF-2	100	179.017860
MDPF-3	100	179.787567
BestRoute	200	123.197768
MDPF-2	200	179.033556
MDPF-3	200	178.028663
BestRoute	300	123.197845
MDPF-2	300	178.587586
MDPF-3	300	177.014151
BestRoute	400	123.197846
MDPF-2	400	177.715081
MDPF-3	400	177.673518
BestRoute	500	168.581152
MDPF-2	500	177.656908
MDPF-3	500	176.331123
BestRoute	600	184.790063
MDPF-2	600	178.210060
MDPF-3	600	177.816838
BestRoute	700	198.861443
MDPF-2	700	179.416508
MDPF-3	700	178.114098
BestRoute	800	211.742799
MDPF-2	800	183.082477
MDPF-3	800	179.067498
BestRoute	900	223.260636
MDPF-2	900	184.678016
MDPF-3	900	180.643629
BestRoute	1000	235.017501
MDPF-2	1000	189.885247
MDPF-3	1000	181.060359
BestRoute	1100	245.780049
MDPF-2	1100	198.991035
MDPF-3	1100	182.318965
BestRoute	1200	448.300695
MDPF-2	1200	214.638930
MDPF-3	1200	184.055430
BestRoute	1300	534.664508
MDPF-2	1300	234.232527
MDPF-3	1300	318.359262
BestRoute	1400	580.748251
MDPF-2	1400	297.419124
MDPF-3	1400	446.219380
BestRoute	1500	624.115044
MDPF-2	1500	426.392781
MDPF-3	1500	532.282048
BestRoute	1600	667.422861
MDPF-2	1600	513.517675
MDPF-3	1600	558.098671
BestRoute	1700	709.593352
MDPF-2	1700	541.549951
MDPF-3	1700	592.984979
BestRoute	1800	754.778477
MDPF-2	1800	586.897074
MDPF-3	1800	603.199124
BestRoute	1900	808.947942
MDPF-2	1900	645.534646
MDPF-3	1900	682.268815
BestRoute	2000	846.385632
MDPF-2	2000	676.490849
MDPF-3	2000	586.222740
BestRoute	2100	890.510098
MDPF-2	2100	734.071110
MDPF-3	2100	821.896799
BestRoute	2200	947.120543
MDPF-2	2200	815.366527
MDPF-3	2200	653.359148
BestRoute	2300	981.998474
MDPF-2	2300	898.356942
MDPF-3	2300	714.324379
BestRoute	2400	1029.512166
MDPF-2	2400	946.679333
MDPF-3	2400	751.569985
BestRoute	2500	1089.790893
MDPF-2	2500	1002.002410
MDPF-3	2500	810.004149
BestRoute	2600	1937.663171
MDPF-2	2600	1084.641287
MDPF-3	2600	858.501295
BestRoute	2700	2051.984773
MDPF-2	2700	1096.413521
MDPF-3	2700	929.331631
BestRoute	2800	2103.872947
MDPF-2	2800	1192.943810
MDPF-3	2800	969.140127
BestRoute	2900	2216.898578
MDPF-2	2900	1262.209618
MDPF-3	2900	1035.892248
BestRoute	3000	2389.605363
MDPF-2	3000	1334.668175
MDPF-3	3000	1090.367427
BestRoute	3100	2448.592350
MDPF-2	3100	1425.516681
MDPF-3	3100	1176.978435
BestRoute	3200	2456.138891
MDPF-2	3200	1456.521081
MDPF-3	3200	1210.184283
BestRoute	3300	2690.450197
MDPF-2	3300	1554.025655
MDPF-3	3300	1290.463787
BestRoute	3400	2691.594384
MDPF-2	3400	1599.059840
MDPF-3	3400	1315.817506
BestRoute	3500	2766.567642
MDPF-2	3500	1636.717359
MDPF-3	3500	1390.464892
BestRoute	3600	2904.085468
MDPF-2	3600	1716.270388
MDPF-3	3600	1452.381170
BestRoute	3700	3034.832326
MDPF-2	3700	1887.306475
MDPF-3	3700	1533.355189
BestRoute	3800	3125.004689
MDPF-2	3800	1859.204454
MDPF-3	3800	1610.301618
BestRoute	3900	3199.539045
MDPF-2	3900	1905.235285
MDPF-3	3900	1616.668095
BestRoute	4000	3232.810918
MDPF-2	4000	1981.645972
MDPF-3	4000	1733.470874
BestRoute	4100	3327.273572
MDPF-2	4100	2144.135054
MDPF-3	4100	1694.335548
BestRoute	4200	3306.001313
MDPF-2	4200	2101.127545
MDPF-3	4200	1800.911143
BestRoute	4300	3483.784705
MDPF-2	4300	2187.616369
MDPF-3	4300	1826.054802
BestRoute	4400	3546.393965
MDPF-2	4400	2225.300433
MDPF-3	4400	1947.103679
BestRoute	4500	3590.013609
MDPF-2	4500	2354.919213
MDPF-3	4500	1960.245592
BestRoute	4600	3706.035821
MDPF-2	4600	2336.282259
MDPF-3	4600	2054.194320
BestRoute	4700	3770.864346
MDPF-2	4700	2359.386682
MDPF-3	4700	2082.676078
BestRoute	4800	3696.614843
MDPF-2	4800	2505.551426
MDPF-3	4800	2085.809467
BestRoute	4900	3916.937009
MDPF-2	4900	2542.673118
MDPF-3	4900	2206.317326
BestRoute	5000	3885.317299
MDPF-2	5000	2591.537187
MDPF-3	5000	2203.068937
