Type	Frequency	DropRate
BestRoute	100	0.0
MDPF-2	100	0.0
MDPF-3	100	0.0
BestRoute	200	0.0
MDPF-2	200	0.0
MDPF-3	200	0.0
BestRoute	300	0.0
MDPF-2	300	0.0
MDPF-3	300	0.0
BestRoute	400	0.0
MDPF-2	400	0.0
MDPF-3	400	0.0
BestRoute	500	23.7333333333
MDPF-2	500	0.0
MDPF-3	500	0.0
BestRoute	600	108.233333333
MDPF-2	600	0.0
MDPF-3	600	0.0
BestRoute	700	192.766666667
MDPF-2	700	0.0
MDPF-3	700	0.0
BestRoute	800	277.033333333
MDPF-2	800	0.1
MDPF-3	800	0.0
BestRoute	900	361.166666667
MDPF-2	900	0.366666666667
MDPF-3	900	0.0
BestRoute	1000	445.533333333
MDPF-2	1000	2.46666666667
MDPF-3	1000	0.0
BestRoute	1100	529.666666667
MDPF-2	1100	13.8666666667
MDPF-3	1100	0.0
BestRoute	1200	609.666666667
MDPF-2	1200	36.8
MDPF-3	1200	0.0
BestRoute	1300	681.466666667
MDPF-2	1300	68.5666666667
MDPF-3	1300	11.6666666667
BestRoute	1400	762.8
MDPF-2	1400	104.433333333
MDPF-3	1400	67.4666666667
BestRoute	1500	845.3
MDPF-2	1500	195.066666667
MDPF-3	1500	120.466666667
BestRoute	1600	932.666666667
MDPF-2	1600	249.6
MDPF-3	1600	185.566666667
BestRoute	1700	1023.23333333
MDPF-2	1700	307.8
MDPF-3	1700	248.033333333
BestRoute	1800	1124.3
MDPF-2	1800	366.833333333
MDPF-3	1800	288.3
BestRoute	1900	1242.7
MDPF-2	1900	445.966666667
MDPF-3	1900	361.6
BestRoute	2000	1351.16666667
MDPF-2	2000	517.8
MDPF-3	2000	398.433333333
BestRoute	2100	1472.63333333
MDPF-2	2100	601.6
MDPF-3	2100	489.833333333
BestRoute	2200	1596.46666667
MDPF-2	2200	686.9
MDPF-3	2200	540.133333333
BestRoute	2300	1718.63333333
MDPF-2	2300	801.333333333
MDPF-3	2300	635.833333333
BestRoute	2400	1858.93333333
MDPF-2	2400	886.766666667
MDPF-3	2400	715.966666667
BestRoute	2500	1995.96666667
MDPF-2	2500	994.3
MDPF-3	2500	801.533333333
BestRoute	2600	2638.7
MDPF-2	2600	1084.56666667
MDPF-3	2600	921.066666667
BestRoute	2700	2793.9
MDPF-2	2700	1149.03333333
MDPF-3	2700	1036.7
BestRoute	2800	2935.03333333
MDPF-2	2800	1232.26666667
MDPF-3	2800	1142.03333333
BestRoute	2900	3074.66666667
MDPF-2	2900	1311.6
MDPF-3	2900	1228.53333333
BestRoute	3000	3159.4
MDPF-2	3000	1370.26666667
MDPF-3	3000	1320.33333333
BestRoute	3100	3264.36666667
MDPF-2	3100	1470.2
MDPF-3	3100	1405.23333333
BestRoute	3200	3417.43333333
MDPF-2	3200	1542.83333333
MDPF-3	3200	1478.3
BestRoute	3300	3435.4
MDPF-2	3300	1644.43333333
MDPF-3	3300	1573.06666667
BestRoute	3400	3555.8
MDPF-2	3400	1745.96666667
MDPF-3	3400	1635.9
BestRoute	3500	3668.26666667
MDPF-2	3500	1859.23333333
MDPF-3	3500	1701.6
BestRoute	3600	3814.03333333
MDPF-2	3600	1954.76666667
MDPF-3	3600	1807.56666667
BestRoute	3700	3953.83333333
MDPF-2	3700	2076.0
MDPF-3	3700	1898.3
BestRoute	3800	4101.6
MDPF-2	3800	2162.36666667
MDPF-3	3800	2020.93333333
BestRoute	3900	4238.06666667
MDPF-2	3900	2274.5
MDPF-3	3900	2147.7
BestRoute	4000	4372.23333333
MDPF-2	4000	2341.7
MDPF-3	4000	2276.83333333
BestRoute	4100	4496.2
MDPF-2	4100	2455.66666667
MDPF-3	4100	2348.56666667
BestRoute	4200	4653.76666667
MDPF-2	4200	2560.16666667
MDPF-3	4200	2507.2
BestRoute	4300	4792.2
MDPF-2	4300	2658.26666667
MDPF-3	4300	2624.73333333
BestRoute	4400	4960.1
MDPF-2	4400	2739.83333333
MDPF-3	4400	2756.23333333
BestRoute	4500	5095.53333333
MDPF-2	4500	2868.06666667
MDPF-3	4500	2850.33333333
BestRoute	4600	5241.7
MDPF-2	4600	2971.13333333
MDPF-3	4600	2979.16666667
BestRoute	4700	5413.4
MDPF-2	4700	3034.06666667
MDPF-3	4700	3105.5
BestRoute	4800	5579.06666667
MDPF-2	4800	3111.76666667
MDPF-3	4800	3199.83333333
BestRoute	4900	5703.4
MDPF-2	4900	3175.0
MDPF-3	4900	3329.36666667
BestRoute	5000	5865.63333333
MDPF-2	5000	3322.26666667
MDPF-3	5000	3461.8
