Type	Time	AverageDrop
MD-WRR	1	374.000000
MD-WRR	2	432.000000
MD-WRR	3	412.000000
MD-WRR	4	434.000000
MD-WRR	5	397.000000
MD-WRR	6	446.000000
MD-WRR	7	400.000000
MD-WRR	8	439.000000
MD-WRR	9	479.000000
MD-WRR	10	490.000000
MD-WRR	11	468.000000
MD-WRR	12	464.000000
MD-WRR	13	460.000000
MD-WRR	14	492.000000
MD-WRR	15	441.000000
MD-WRR	16	511.000000
MD-WRR	17	473.000000
MD-WRR	18	493.000000
MD-WRR	19	474.000000
MD-WRR	20	476.000000
MD-WRR	21	469.000000
MD-WRR	22	437.000000
MD-WRR	23	396.000000
MD-WRR	24	391.000000
MD-WRR	25	453.000000
MD-WRR	26	462.000000
MD-WRR	27	523.000000
MD-WRR	28	408.000000
MD-WRR	29	393.000000
MD-WRR	30	469.000000
MD-WRR	31	399.000000
MD-WRR	32	525.000000
MD-WRR	33	465.000000
MD-WRR	34	416.000000
MD-WRR	35	465.000000
MD-WRR	36	463.000000
MD-WRR	37	432.000000
MD-WRR	38	470.000000
MD-WRR	39	439.000000
MD-WRR	40	419.000000
MD-WRR	41	423.000000
MD-WRR	42	441.000000
MD-WRR	43	414.000000
MD-WRR	44	495.000000
MD-WRR	45	481.000000
MD-WRR	46	466.000000
MD-WRR	47	456.000000
MD-WRR	48	491.000000
MD-WRR	49	491.000000
MD-PF	1	471.000000
MD-PF	2	722.000000
MD-PF	3	589.000000
MD-PF	4	602.000000
MD-PF	5	768.000000
MD-PF	6	706.000000
MD-PF	7	683.000000
MD-PF	8	728.000000
MD-PF	9	713.000000
MD-PF	10	724.000000
MD-PF	11	672.000000
MD-PF	12	712.000000
MD-PF	13	710.000000
MD-PF	14	705.000000
MD-PF	15	719.000000
MD-PF	16	702.000000
MD-PF	17	713.000000
MD-PF	18	688.000000
MD-PF	19	725.000000
MD-PF	20	699.000000
MD-PF	21	714.000000
MD-PF	22	700.000000
MD-PF	23	676.000000
MD-PF	24	746.000000
MD-PF	25	708.000000
MD-PF	26	697.000000
MD-PF	27	696.000000
MD-PF	28	683.000000
MD-PF	29	737.000000
MD-PF	30	730.000000
MD-PF	31	664.000000
MD-PF	32	708.000000
MD-PF	33	736.000000
MD-PF	34	678.000000
MD-PF	35	695.000000
MD-PF	36	754.000000
MD-PF	37	691.000000
MD-PF	38	702.000000
MD-PF	39	707.000000
MD-PF	40	706.000000
MD-PF	41	701.000000
MD-PF	42	708.000000
MD-PF	43	733.000000
MD-PF	44	710.000000
MD-PF	45	689.000000
MD-PF	46	744.000000
MD-PF	47	703.000000
MD-PF	48	676.000000
MD-PF	49	711.000000
BestRoute	1	498.000000
BestRoute	2	715.000000
BestRoute	3	529.000000
BestRoute	4	1034.000000
BestRoute	5	884.000000
BestRoute	6	588.000000
BestRoute	7	1028.000000
BestRoute	8	844.000000
BestRoute	9	612.000000
BestRoute	10	807.000000
BestRoute	11	875.000000
BestRoute	12	726.000000
BestRoute	13	794.000000
BestRoute	14	923.000000
BestRoute	15	678.000000
BestRoute	16	862.000000
BestRoute	17	859.000000
BestRoute	18	683.000000
BestRoute	19	794.000000
BestRoute	20	932.000000
BestRoute	21	677.000000
BestRoute	22	864.000000
BestRoute	23	863.000000
BestRoute	24	670.000000
BestRoute	25	884.000000
BestRoute	26	866.000000
BestRoute	27	700.000000
BestRoute	28	842.000000
BestRoute	29	895.000000
BestRoute	30	626.000000
BestRoute	31	950.000000
BestRoute	32	854.000000
BestRoute	33	619.000000
BestRoute	34	981.000000
BestRoute	35	781.000000
BestRoute	36	600.000000
BestRoute	37	1006.000000
BestRoute	38	802.000000
BestRoute	39	710.000000
BestRoute	40	1027.000000
BestRoute	41	746.000000
BestRoute	42	729.000000
BestRoute	43	1015.000000
BestRoute	44	755.000000
BestRoute	45	566.000000
BestRoute	46	1037.000000
BestRoute	47	791.000000
BestRoute	48	755.000000
BestRoute	49	915.000000
