Type	Time	AverageDrop
MD-WRR	1	0.000000
MD-WRR	2	232.000000
MD-WRR	3	113.000000
MD-WRR	4	30.000000
MD-WRR	5	38.000000
MD-WRR	6	126.000000
MD-WRR	7	43.000000
MD-WRR	8	14.000000
MD-WRR	9	22.000000
MD-WRR	10	79.000000
MD-WRR	11	38.000000
MD-WRR	12	9.000000
MD-WRR	13	71.000000
MD-WRR	14	108.000000
MD-WRR	15	45.000000
MD-WRR	16	13.000000
MD-WRR	17	85.000000
MD-WRR	18	34.000000
MD-WRR	19	220.000000
MD-WRR	20	203.000000
MD-WRR	21	132.000000
MD-WRR	22	114.000000
MD-WRR	23	113.000000
MD-WRR	24	31.000000
MD-WRR	25	152.000000
MD-WRR	26	120.000000
MD-WRR	27	33.000000
MD-WRR	28	242.000000
MD-WRR	29	85.000000
MD-WRR	30	239.000000
MD-WRR	31	156.000000
MD-WRR	32	214.000000
MD-WRR	33	164.000000
MD-WRR	34	144.000000
MD-WRR	35	122.000000
MD-WRR	36	275.000000
MD-WRR	37	152.000000
MD-WRR	38	274.000000
MD-WRR	39	123.000000
MD-WRR	40	141.000000
MD-WRR	41	41.000000
MD-WRR	42	223.000000
MD-WRR	43	189.000000
MD-WRR	44	142.000000
MD-WRR	45	135.000000
MD-WRR	46	260.000000
MD-WRR	47	200.000000
MD-WRR	48	137.000000
MD-WRR	49	141.000000
MD-PF	1	87.000000
MD-PF	2	94.000000
MD-PF	3	131.000000
MD-PF	4	163.000000
MD-PF	5	158.000000
MD-PF	6	146.000000
MD-PF	7	124.000000
MD-PF	8	158.000000
MD-PF	9	149.000000
MD-PF	10	158.000000
MD-PF	11	155.000000
MD-PF	12	177.000000
MD-PF	13	162.000000
MD-PF	14	155.000000
MD-PF	15	157.000000
MD-PF	16	148.000000
MD-PF	17	151.000000
MD-PF	18	151.000000
MD-PF	19	149.000000
MD-PF	20	156.000000
MD-PF	21	141.000000
MD-PF	22	158.000000
MD-PF	23	161.000000
MD-PF	24	177.000000
MD-PF	25	169.000000
MD-PF	26	156.000000
MD-PF	27	163.000000
MD-PF	28	145.000000
MD-PF	29	152.000000
MD-PF	30	177.000000
MD-PF	31	164.000000
MD-PF	32	146.000000
MD-PF	33	144.000000
MD-PF	34	149.000000
MD-PF	35	163.000000
MD-PF	36	147.000000
MD-PF	37	153.000000
MD-PF	38	149.000000
MD-PF	39	133.000000
MD-PF	40	159.000000
MD-PF	41	191.000000
MD-PF	42	164.000000
MD-PF	43	142.000000
MD-PF	44	154.000000
MD-PF	45	162.000000
MD-PF	46	144.000000
MD-PF	47	171.000000
MD-PF	48	176.000000
MD-PF	49	161.000000
BestRoute	1	400.000000
BestRoute	2	443.000000
BestRoute	3	553.000000
BestRoute	4	554.000000
BestRoute	5	526.000000
BestRoute	6	510.000000
BestRoute	7	519.000000
BestRoute	8	525.000000
BestRoute	9	523.000000
BestRoute	10	518.000000
BestRoute	11	518.000000
BestRoute	12	520.000000
BestRoute	13	519.000000
BestRoute	14	522.000000
BestRoute	15	521.000000
BestRoute	16	521.000000
BestRoute	17	522.000000
BestRoute	18	518.000000
BestRoute	19	522.000000
BestRoute	20	523.000000
BestRoute	21	518.000000
BestRoute	22	524.000000
BestRoute	23	518.000000
BestRoute	24	520.000000
BestRoute	25	520.000000
BestRoute	26	521.000000
BestRoute	27	516.000000
BestRoute	28	518.000000
BestRoute	29	524.000000
BestRoute	30	522.000000
BestRoute	31	520.000000
BestRoute	32	515.000000
BestRoute	33	521.000000
BestRoute	34	524.000000
BestRoute	35	518.000000
BestRoute	36	523.000000
BestRoute	37	519.000000
BestRoute	38	521.000000
BestRoute	39	520.000000
BestRoute	40	511.000000
BestRoute	41	527.000000
BestRoute	42	519.000000
BestRoute	43	524.000000
BestRoute	44	525.000000
BestRoute	45	519.000000
BestRoute	46	519.000000
BestRoute	47	518.000000
BestRoute	48	521.000000
BestRoute	49	517.000000
