Type	Frequency	AverageFlow
BestRoute	100	102.825540816
MDPF-2	100	93.145855102
MDPF-3	100	93.3954265306
BestRoute	200	205.657040816
MDPF-2	200	187.835367347
MDPF-3	200	187.144
BestRoute	300	308.487673469
MDPF-2	300	280.822653061
MDPF-3	300	282.323816327
BestRoute	400	411.29722449
MDPF-2	400	377.241632653
MDPF-3	400	374.880163265
BestRoute	500	498.662081633
MDPF-2	500	470.067938776
MDPF-3	500	469.549795918
BestRoute	600	549.954755102
MDPF-2	600	564.770979592
MDPF-3	600	564.50955102
BestRoute	700	601.115612245
MDPF-2	700	657.857734694
MDPF-3	700	655.073795918
BestRoute	800	652.489
MDPF-2	800	750.29544898
MDPF-3	800	748.696755102
BestRoute	900	703.840816327
MDPF-2	900	840.429877551
MDPF-3	900	845.531877551
BestRoute	1000	755.125408163
MDPF-2	1000	931.525653061
MDPF-3	1000	936.590959184
BestRoute	1100	806.164857143
MDPF-2	1100	1005.73873469
MDPF-3	1100	1033.95365306
BestRoute	1200	844.745306122
MDPF-2	1200	1073.58402041
MDPF-3	1200	1128.86953061
BestRoute	1300	852.494530612
MDPF-2	1300	1119.36114286
MDPF-3	1300	1204.69346939
BestRoute	1400	859.521755102
MDPF-2	1400	1149.24328571
MDPF-3	1400	1205.24571429
BestRoute	1500	866.275693878
MDPF-2	1500	1107.14602041
MDPF-3	1500	1205.74763265
BestRoute	1600	872.280265306
MDPF-2	1600	1116.73181633
MDPF-3	1600	1205.77253061
BestRoute	1700	875.688591837
MDPF-2	1700	1111.23469388
MDPF-3	1700	1206.30136735
BestRoute	1800	877.086959184
MDPF-2	1800	1103.61871429
MDPF-3	1800	1205.2614898
BestRoute	1900	875.386020408
MDPF-2	1900	1093.703
MDPF-3	1900	1206.46646939
BestRoute	2000	878.144510204
MDPF-2	2000	1083.29610204
MDPF-3	2000	1181.39085714
BestRoute	2100	879.61544898
MDPF-2	2100	1074.12389796
MDPF-3	2100	1206.13165306
BestRoute	2200	878.51077551
MDPF-2	2200	1064.06730612
MDPF-3	2200	1153.6445102
BestRoute	2300	880.838918367
MDPF-2	2300	1053.42469388
MDPF-3	2300	1146.53016327
BestRoute	2400	881.83655102
MDPF-2	2400	1051.97138776
MDPF-3	2400	1141.35065306
BestRoute	2500	881.840020408
MDPF-2	2500	1047.6167551
MDPF-3	2500	1137.52493878
BestRoute	2600	722.300591837
MDPF-2	2600	1043.70418367
MDPF-3	2600	1129.78979592
BestRoute	2700	734.259489796
MDPF-2	2700	1048.59302041
MDPF-3	2700	1128.1867551
BestRoute	2800	744.33855102
MDPF-2	2800	1041.58908163
MDPF-3	2800	1123.40171429
BestRoute	2900	747.531061224
MDPF-2	2900	1039.05683673
MDPF-3	2900	1115.56322449
BestRoute	3000	741.778265306
MDPF-2	3000	1037.01189796
MDPF-3	3000	1108.79655102
BestRoute	3100	753.292244898
MDPF-2	3100	1032.04514286
MDPF-3	3100	1110.50216327
BestRoute	3200	764.057530612
MDPF-2	3200	1025.18142857
MDPF-3	3200	1111.78655102
BestRoute	3300	759.910653061
MDPF-2	3300	1020.49193878
MDPF-3	3300	1108.56510204
BestRoute	3400	762.274469388
MDPF-2	3400	1022.66571429
MDPF-3	3400	1106.12734694
BestRoute	3500	761.661163265
MDPF-2	3500	1016.13659184
MDPF-3	3500	1104.87761224
BestRoute	3600	766.253204082
MDPF-2	3600	1018.25993878
MDPF-3	3600	1102.52340816
BestRoute	3700	766.334979592
MDPF-2	3700	1016.94071429
MDPF-3	3700	1097.27514286
BestRoute	3800	768.465795918
MDPF-2	3800	1017.83042857
MDPF-3	3800	1092.77722449
BestRoute	3900	768.946183673
MDPF-2	3900	1019.10753061
MDPF-3	3900	1091.91242857
BestRoute	4000	772.587020408
MDPF-2	4000	1024.61010204
MDPF-3	4000	1086.83530612
BestRoute	4100	777.341510204
MDPF-2	4100	1020.25569388
MDPF-3	4100	1083.40838776
BestRoute	4200	782.606204082
MDPF-2	4200	1025.57559184
MDPF-3	4200	1079.76367347
BestRoute	4300	782.822591837
MDPF-2	4300	1026.38989796
MDPF-3	4300	1079.9295102
BestRoute	4400	790.095265306
MDPF-2	4400	1027.26318367
MDPF-3	4400	1081.15083673
BestRoute	4500	787.92677551
MDPF-2	4500	1028.65563265
MDPF-3	4500	1081.82287755
BestRoute	4600	792.132306122
MDPF-2	4600	1029.01073469
MDPF-3	4600	1080.26269388
BestRoute	4700	793.951122449
MDPF-2	4700	1035.43771429
MDPF-3	4700	1083.03485714
BestRoute	4800	796.40055102
MDPF-2	4800	1030.28353061
MDPF-3	4800	1082.29387755
BestRoute	4900	791.696693878
MDPF-2	4900	1031.96281633
MDPF-3	4900	1080.14306122
BestRoute	5000	796.938795918
MDPF-2	5000	1032.52644898
MDPF-3	5000	1079.16957143
