Type	Time	Ratio
bestRouting	1	2.417244
bestRouting	2	0.687738
bestRouting	3	1.690893
bestRouting	4	1.196870
bestRouting	5	0.719120
bestRouting	6	0.894855
bestRouting	7	0.981559
bestRouting	8	1.144165
bestRouting	9	0.936734
bestRouting	10	1.312777
bestRouting	11	0.880023
bestRouting	12	0.965195
bestRouting	13	1.088765
bestRouting	14	0.986842
bestRouting	15	0.949460
bestRouting	16	0.899550
bestRouting	17	0.796813
bestRouting	18	0.914859
bestRouting	19	1.074161
bestRouting	20	1.145268
bestRouting	21	1.147883
bestRouting	22	1.078717
bestRouting	23	0.910312
bestRouting	24	0.889991
bestRouting	25	0.905660
bestRouting	26	0.816089
bestRouting	27	0.936246
bestRouting	28	0.689352
bestRouting	29	0.952527
bestRouting	30	0.861326
bestRouting	31	1.009492
bestRouting	32	0.883895
bestRouting	33	0.661680
bestRouting	34	1.057020
bestRouting	35	0.976909
bestRouting	36	0.994036
bestRouting	37	0.747986
bestRouting	38	1.114744
bestRouting	39	0.895122
bestRouting	40	1.040583
bestRouting	41	0.890340
bestRouting	42	0.791476
bestRouting	43	1.307286
bestRouting	44	0.843195
bestRouting	45	0.763130
bestRouting	46	1.093142
bestRouting	47	0.822861
bestRouting	48	0.888753
bestRouting	49	1.002950
MDPF3	1	2.855813
MDPF3	2	1.131783
MDPF3	3	1.172351
MDPF3	4	1.019643
MDPF3	5	0.834106
MDPF3	6	1.185951
MDPF3	7	1.017618
MDPF3	8	1.121722
MDPF3	9	1.125759
MDPF3	10	1.128284
MDPF3	11	1.048375
MDPF3	12	1.251885
MDPF3	13	1.182894
MDPF3	14	1.110435
MDPF3	15	1.164725
MDPF3	16	0.926770
MDPF3	17	1.127311
MDPF3	18	1.148036
MDPF3	19	1.186899
MDPF3	20	1.000000
MDPF3	21	1.243094
MDPF3	22	1.188884
MDPF3	23	1.203718
MDPF3	24	1.167551
MDPF3	25	1.035570
MDPF3	26	1.363776
MDPF3	27	1.062079
MDPF3	28	1.028122
MDPF3	29	1.048473
MDPF3	30	1.355468
MDPF3	31	1.043242
MDPF3	32	1.133787
MDPF3	33	1.041667
MDPF3	34	1.122386
MDPF3	35	1.367804
MDPF3	36	1.274852
MDPF3	37	0.862838
MDPF3	38	1.450382
MDPF3	39	1.082482
MDPF3	40	1.240429
MDPF3	41	1.104972
MDPF3	42	1.002126
MDPF3	43	1.122914
MDPF3	44	1.126464
MDPF3	45	1.069438
MDPF3	46	1.058932
MDPF3	47	1.100045
MDPF3	48	1.393050
MDPF3	49	0.889844
MDBF3	1	3.521895
MDBF3	2	1.824212
MDBF3	3	1.602470
MDBF3	4	1.717700
MDBF3	5	1.574088
MDBF3	6	1.572279
MDBF3	7	1.678108
MDBF3	8	2.059087
MDBF3	9	1.654987
MDBF3	10	1.738865
MDBF3	11	1.856843
MDBF3	12	2.252457
MDBF3	13	2.041429
MDBF3	14	1.727990
MDBF3	15	1.356791
MDBF3	16	1.488317
MDBF3	17	1.739130
MDBF3	18	1.393779
MDBF3	19	1.735160
MDBF3	20	2.006889
MDBF3	21	1.737194
MDBF3	22	1.419393
MDBF3	23	1.544860
MDBF3	24	1.807412
MDBF3	25	1.942771
MDBF3	26	1.774243
MDBF3	27	1.672495
MDBF3	28	1.922508
MDBF3	29	1.838347
MDBF3	30	1.546238
MDBF3	31	1.647346
MDBF3	32	1.809821
MDBF3	33	1.524892
MDBF3	34	2.029435
MDBF3	35	1.669399
MDBF3	36	1.449059
MDBF3	37	1.297552
MDBF3	38	1.558326
MDBF3	39	1.502013
MDBF3	40	1.361440
MDBF3	41	1.865729
MDBF3	42	2.246333
MDBF3	43	1.930789
MDBF3	44	1.687889
MDBF3	45	1.883738
MDBF3	46	1.776119
MDBF3	47	1.512173
MDBF3	48	1.591277
MDBF3	49	1.481939
