Type	Time	AverageDrop
BestRoute	1	18.000000
BestRoute	2	30.000000
BestRoute	3	50.000000
BestRoute	4	28.000000
BestRoute	5	33.000000
BestRoute	6	50.000000
BestRoute	7	28.000000
BestRoute	8	33.000000
BestRoute	9	50.000000
BestRoute	10	28.000000
BestRoute	11	33.000000
BestRoute	12	50.000000
BestRoute	13	28.000000
BestRoute	14	33.000000
BestRoute	15	50.000000
BestRoute	16	28.000000
BestRoute	17	33.000000
BestRoute	18	50.000000
BestRoute	19	28.000000
BestRoute	20	33.000000
BestRoute	21	50.000000
BestRoute	22	28.000000
BestRoute	23	33.000000
BestRoute	24	50.000000
BestRoute	25	28.000000
BestRoute	26	33.000000
BestRoute	27	50.000000
BestRoute	28	28.000000
BestRoute	29	33.000000
BestRoute	30	50.000000
BestRoute	31	28.000000
BestRoute	32	33.000000
BestRoute	33	50.000000
BestRoute	34	28.000000
BestRoute	35	33.000000
BestRoute	36	50.000000
BestRoute	37	28.000000
BestRoute	38	33.000000
BestRoute	39	50.000000
BestRoute	40	28.000000
BestRoute	41	33.000000
BestRoute	42	50.000000
BestRoute	43	28.000000
BestRoute	44	33.000000
BestRoute	45	50.000000
BestRoute	46	28.000000
BestRoute	47	33.000000
BestRoute	48	50.000000
BestRoute	49	28.000000
BestRoute	50	33.000000
BestRoute	51	50.000000
BestRoute	52	28.000000
BestRoute	53	33.000000
BestRoute	54	7.000000
BestRoute	55	1.000000
BestRoute	56	0.000000
BestRoute	57	0.000000
BestRoute	58	0.000000
BestRoute	59	0.000000
BestRoute	60	0.000000
BestRoute	61	0.000000
BestRoute	62	0.000000
BestRoute	63	0.000000
BestRoute	64	0.000000
BestRoute	65	0.000000
BestRoute	66	0.000000
BestRoute	67	0.000000
BestRoute	68	0.000000
BestRoute	69	0.000000
MDBF3	1	31.000000
MDBF3	2	63.000000
MDBF3	3	49.000000
MDBF3	4	100.000000
MDBF3	5	34.000000
MDBF3	6	18.000000
MDBF3	7	69.000000
MDBF3	8	28.000000
MDBF3	9	58.000000
MDBF3	10	72.000000
MDBF3	11	67.000000
MDBF3	12	51.000000
MDBF3	13	49.000000
MDBF3	14	26.000000
MDBF3	15	41.000000
MDBF3	16	63.000000
MDBF3	17	47.000000
MDBF3	18	8.000000
MDBF3	19	47.000000
MDBF3	20	41.000000
MDBF3	21	46.000000
MDBF3	22	51.000000
MDBF3	23	91.000000
MDBF3	24	61.000000
MDBF3	25	47.000000
MDBF3	26	8.000000
MDBF3	27	47.000000
MDBF3	28	47.000000
MDBF3	29	8.000000
MDBF3	30	51.000000
MDBF3	31	53.000000
MDBF3	32	48.000000
MDBF3	33	9.000000
MDBF3	34	47.000000
MDBF3	35	54.000000
MDBF3	36	47.000000
MDBF3	37	15.000000
MDBF3	38	62.000000
MDBF3	39	41.000000
MDBF3	40	50.000000
MDBF3	41	49.000000
MDBF3	42	9.000000
MDBF3	43	47.000000
MDBF3	44	54.000000
MDBF3	45	9.000000
MDBF3	46	1.000000
MDBF3	47	0.000000
MDBF3	48	0.000000
MDBF3	49	0.000000
EBF3	1	3.000000
EBF3	2	43.000000
EBF3	3	20.000000
EBF3	4	75.000000
EBF3	5	13.000000
EBF3	6	1.000000
EBF3	7	21.000000
EBF3	8	126.000000
EBF3	9	23.000000
EBF3	10	3.000000
EBF3	11	12.000000
EBF3	12	30.000000
EBF3	13	200.000000
EBF3	14	45.000000
EBF3	15	7.000000
EBF3	16	57.000000
EBF3	17	41.000000
EBF3	18	77.000000
EBF3	19	88.000000
EBF3	20	92.000000
EBF3	21	27.000000
EBF3	22	69.000000
EBF3	23	87.000000
EBF3	24	75.000000
EBF3	25	14.000000
EBF3	26	2.000000
EBF3	27	0.000000
EBF3	28	0.000000
EBF3	29	0.000000
EBF3	30	0.000000
EBF3	31	0.000000
EBF3	32	0.000000
EBF3	33	0.000000
EBF3	34	0.000000
EBF3	35	0.000000
EBF3	36	0.000000
EBF3	37	0.000000
EBF3	38	0.000000
EBF3	39	0.000000
EBF3	40	0.000000
EBF3	41	0.000000
EBF3	42	0.000000
EBF3	43	0.000000
EBF3	44	0.000000
EBF3	45	0.000000
EBF3	46	0.000000
EBF3	47	0.000000
EBF3	48	0.000000
EBF3	49	0.000000
EBF3	50	0.000000
EBF3	51	0.000000
EBF3	52	0.000000
EBF3	53	0.000000
EBF3	54	0.000000
EBF3	55	0.000000
EBF3	56	0.000000
EBF3	57	0.000000
EBF3	58	0.000000
EBF3	59	0.000000
EBF3	60	0.000000
EBF3	61	0.000000
EBF3	62	0.000000
EBF3	63	0.000000
EBF3	64	0.000000
EBF3	65	0.000000
EBF3	66	0.000000
EBF3	67	0.000000
EBF3	68	0.000000
EBF3	69	0.000000
