Type	Time	AverageInData
BestRoute	1	0.017481
BestRoute	2	0.030126
BestRoute	3	0.056410
BestRoute	4	0.073890
BestRoute	5	0.086536
BestRoute	6	0.112571
BestRoute	7	0.130052
BestRoute	8	0.142698
BestRoute	9	0.168733
BestRoute	10	0.186214
BestRoute	11	0.198859
BestRoute	12	0.224895
BestRoute	13	0.242375
BestRoute	14	0.255021
BestRoute	15	0.281056
BestRoute	16	0.298537
BestRoute	17	0.311183
BestRoute	18	0.337218
BestRoute	19	0.354699
BestRoute	20	0.367344
BestRoute	21	0.393380
BestRoute	22	0.410860
BestRoute	23	0.423506
BestRoute	24	0.449541
BestRoute	25	0.467022
BestRoute	26	0.479668
BestRoute	27	0.505703
BestRoute	28	0.523184
BestRoute	29	0.535829
BestRoute	30	0.561865
BestRoute	31	0.579345
BestRoute	32	0.591991
BestRoute	33	0.618026
BestRoute	34	0.635507
BestRoute	35	0.648153
BestRoute	36	0.674188
BestRoute	37	0.691669
BestRoute	38	0.704314
BestRoute	39	0.730350
BestRoute	40	0.747830
BestRoute	41	0.760476
BestRoute	42	0.786511
BestRoute	43	0.803992
BestRoute	44	0.816638
BestRoute	45	0.842673
BestRoute	46	0.860154
BestRoute	47	0.872799
BestRoute	48	0.898835
BestRoute	49	0.916315
BestRoute	50	0.928961
BestRoute	51	0.954996
BestRoute	52	0.972477
BestRoute	53	0.985123
BestRoute	54	1.000000
BestRoute	55	1.000000
BestRoute	56	1.000000
BestRoute	57	1.000000
BestRoute	58	1.000000
BestRoute	59	1.000000
BestRoute	60	1.000000
BestRoute	61	1.000000
BestRoute	62	1.000000
BestRoute	63	1.000000
BestRoute	64	1.000000
BestRoute	65	1.000000
BestRoute	66	1.000000
BestRoute	67	1.000000
BestRoute	68	1.000000
BestRoute	69	1.000000
MDBF3	1	0.028267
MDBF3	2	0.045004
MDBF3	3	0.091371
MDBF3	4	0.145301
MDBF3	5	0.165138
MDBF3	6	0.217952
MDBF3	7	0.242747
MDBF3	8	0.275973
MDBF3	9	0.317754
MDBF3	10	0.336846
MDBF3	11	0.357674
MDBF3	12	0.378502
MDBF3	13	0.402058
MDBF3	14	0.420903
MDBF3	15	0.444086
MDBF3	16	0.471237
MDBF3	17	0.485991
MDBF3	18	0.493801
MDBF3	19	0.520952
MDBF3	20	0.537441
MDBF3	21	0.565708
MDBF3	22	0.597818
MDBF3	23	0.640590
MDBF3	24	0.662038
MDBF3	25	0.680387
MDBF3	26	0.682246
MDBF3	27	0.710389
MDBF3	28	0.728118
MDBF3	29	0.730474
MDBF3	30	0.759608
MDBF3	31	0.776965
MDBF3	32	0.791222
MDBF3	33	0.797421
MDBF3	34	0.824076
MDBF3	35	0.843293
MDBF3	36	0.853211
MDBF3	37	0.865857
MDBF3	38	0.891148
MDBF3	39	0.904909
MDBF3	40	0.931937
MDBF3	41	0.946194
MDBF3	42	0.954004
MDBF3	43	0.980536
MDBF3	44	0.999752
MDBF3	45	1.000000
MDBF3	46	1.000000
MDBF3	47	1.000000
MDBF3	48	1.000000
MDBF3	49	1.000000
EBF3	1	0.022936
EBF3	2	0.099430
EBF3	3	0.193900
EBF3	4	0.294198
EBF3	5	0.298289
EBF3	6	0.303124
EBF3	7	0.389288
EBF3	8	0.492809
EBF3	9	0.501860
EBF3	10	0.517481
EBF3	11	0.576990
EBF3	12	0.619266
EBF3	13	0.723531
EBF3	14	0.739772
EBF3	15	0.748202
EBF3	16	0.774981
EBF3	17	0.803496
EBF3	18	0.831267
EBF3	19	0.863005
EBF3	20	0.893628
EBF3	21	0.911604
EBF3	22	0.932061
EBF3	23	0.961691
EBF3	24	0.991198
EBF3	25	0.992065
EBF3	26	1.000000
EBF3	27	1.000000
EBF3	28	1.000000
EBF3	29	1.000000
EBF3	30	1.000000
EBF3	31	1.000000
EBF3	32	1.000000
EBF3	33	1.000000
EBF3	34	1.000000
EBF3	35	1.000000
EBF3	36	1.000000
EBF3	37	1.000000
EBF3	38	1.000000
EBF3	39	1.000000
EBF3	40	1.000000
EBF3	41	1.000000
EBF3	42	1.000000
EBF3	43	1.000000
EBF3	44	1.000000
EBF3	45	1.000000
EBF3	46	1.000000
EBF3	47	1.000000
EBF3	48	1.000000
EBF3	49	1.000000
EBF3	50	1.000000
EBF3	51	1.000000
EBF3	52	1.000000
EBF3	53	1.000000
EBF3	54	1.000000
EBF3	55	1.000000
EBF3	56	1.000000
EBF3	57	1.000000
EBF3	58	1.000000
EBF3	59	1.000000
EBF3	60	1.000000
EBF3	61	1.000000
EBF3	62	1.000000
EBF3	63	1.000000
EBF3	64	1.000000
EBF3	65	1.000000
EBF3	66	1.000000
EBF3	67	1.000000
EBF3	68	1.000000
EBF3	69	1.000000
