Type	SeqNo	Delay
BestRoute	0	119.179000
BestRoute	1	119.189000
BestRoute	2	121.313000
BestRoute	3	119.189000
BestRoute	4	121.313000
BestRoute	5	121.313000
BestRoute	6	123.437000
BestRoute	7	119.189000
BestRoute	8	121.313000
BestRoute	9	121.313000
BestRoute	10	123.437000
BestRoute	11	123.437000
BestRoute	12	125.561000
BestRoute	13	125.561000
BestRoute	14	127.685000
BestRoute	15	119.189000
BestRoute	16	121.313000
BestRoute	17	121.313000
BestRoute	18	123.437000
BestRoute	19	123.437000
BestRoute	20	125.561000
BestRoute	21	125.561000
BestRoute	22	127.685000
BestRoute	23	127.685000
BestRoute	24	129.809000
BestRoute	25	129.809000
BestRoute	26	131.933000
BestRoute	27	131.933000
BestRoute	28	134.057000
BestRoute	29	134.057000
BestRoute	30	136.181000
BestRoute	31	119.189000
BestRoute	32	121.313000
BestRoute	33	121.313000
BestRoute	34	123.437000
BestRoute	35	123.437000
BestRoute	36	125.561000
BestRoute	37	125.561000
BestRoute	38	127.685000
BestRoute	39	127.685000
BestRoute	40	129.809000
BestRoute	41	129.809000
BestRoute	42	131.933000
BestRoute	43	131.933000
BestRoute	44	134.057000
BestRoute	45	134.057000
BestRoute	46	136.181000
BestRoute	47	136.181000
BestRoute	48	138.305000
BestRoute	49	138.305000
BestRoute	50	140.429000
BestRoute	51	140.429000
BestRoute	52	142.553000
BestRoute	53	142.553000
BestRoute	54	144.677000
BestRoute	55	144.677000
BestRoute	56	146.801000
BestRoute	57	146.801000
BestRoute	58	148.925000
BestRoute	59	148.925000
BestRoute	60	151.049000
BestRoute	61	151.049000
BestRoute	62	153.173000
BestRoute	63	119.189000
BestRoute	64	121.313000
BestRoute	65	121.313000
BestRoute	66	123.437000
BestRoute	67	123.437000
BestRoute	68	125.561000
BestRoute	69	125.561000
BestRoute	70	127.685000
BestRoute	71	127.685000
BestRoute	72	129.809000
BestRoute	73	129.809000
BestRoute	74	131.933000
BestRoute	75	131.933000
BestRoute	76	134.057000
BestRoute	77	134.057000
BestRoute	78	136.181000
BestRoute	79	136.181000
BestRoute	80	138.305000
BestRoute	81	138.305000
BestRoute	82	140.429000
BestRoute	83	140.429000
BestRoute	84	142.553000
BestRoute	85	142.553000
BestRoute	86	144.677000
BestRoute	87	144.677000
BestRoute	88	146.801000
BestRoute	89	146.801000
BestRoute	90	148.925000
BestRoute	91	148.925000
BestRoute	92	151.049000
BestRoute	93	151.049000
BestRoute	94	153.173000
BestRoute	95	153.173000
BestRoute	96	155.297000
BestRoute	97	155.297000
BestRoute	98	157.421000
BestRoute	99	157.421000
BestRoute	100	159.545000
BestRoute	101	159.545000
BestRoute	102	161.669000
BestRoute	103	161.669000
BestRoute	104	163.793000
BestRoute	105	163.793000
BestRoute	106	165.917000
BestRoute	107	165.917000
BestRoute	108	168.041000
BestRoute	109	168.041000
BestRoute	111	168.041000
BestRoute	113	168.041000
BestRoute	114	170.165000
BestRoute	116	170.165000
BestRoute	118	170.165000
BestRoute	120	170.165000
BestRoute	121	170.165000
BestRoute	123	170.165000
BestRoute	125	170.165000
BestRoute	127	119.189000
BestRoute	128	121.313000
BestRoute	129	121.313000
BestRoute	130	123.437000
BestRoute	131	123.437000
BestRoute	132	125.561000
BestRoute	133	125.561000
BestRoute	134	127.685000
BestRoute	135	127.685000
BestRoute	136	129.809000
BestRoute	137	129.809000
BestRoute	138	131.933000
BestRoute	139	131.933000
BestRoute	140	134.057000
BestRoute	141	134.057000
BestRoute	142	136.181000
BestRoute	143	136.181000
BestRoute	144	138.305000
BestRoute	145	138.305000
BestRoute	146	140.429000
BestRoute	147	140.429000
BestRoute	148	142.553000
BestRoute	149	142.553000
BestRoute	150	144.677000
BestRoute	151	144.677000
BestRoute	152	146.801000
BestRoute	153	146.801000
BestRoute	154	148.925000
BestRoute	155	148.925000
BestRoute	156	151.049000
BestRoute	157	151.049000
BestRoute	158	153.173000
BestRoute	159	153.173000
BestRoute	160	155.297000
BestRoute	161	155.297000
BestRoute	162	157.421000
BestRoute	163	157.421000
BestRoute	164	159.545000
BestRoute	165	159.545000
BestRoute	166	161.669000
BestRoute	167	161.669000
BestRoute	168	163.793000
BestRoute	169	163.793000
BestRoute	170	165.917000
BestRoute	171	165.917000
BestRoute	172	168.041000
BestRoute	173	168.041000
BestRoute	175	168.041000
BestRoute	177	168.041000
BestRoute	178	170.165000
BestRoute	180	170.165000
BestRoute	182	170.165000
BestRoute	184	170.165000
BestRoute	185	170.165000
BestRoute	187	170.165000
BestRoute	189	170.165000
BestRoute	191	170.165000
BestRoute	192	172.289000
BestRoute	194	172.289000
BestRoute	196	172.289000
BestRoute	198	172.289000
BestRoute	199	172.289000
BestRoute	201	172.289000
BestRoute	203	172.289000
BestRoute	205	172.289000
BestRoute	206	174.413000
BestRoute	208	174.413000
BestRoute	210	174.413000
BestRoute	212	174.413000
BestRoute	213	174.413000
BestRoute	215	174.413000
BestRoute	217	174.413000
BestRoute	219	174.413000
BestRoute	220	176.537000
BestRoute	222	176.537000
BestRoute	224	176.537000
BestRoute	226	176.537000
BestRoute	227	176.537000
BestRoute	229	176.537000
BestRoute	231	176.537000
BestRoute	233	176.537000
BestRoute	234	178.661000
BestRoute	236	178.661000
BestRoute	238	178.661000
BestRoute	240	178.416000
BestRoute	241	178.416000
BestRoute	243	178.416000
BestRoute	245	178.416000
BestRoute	247	178.416000
BestRoute	248	180.540000
BestRoute	250	180.540000
BestRoute	252	180.540000
BestRoute	254	180.540000
BestRoute	255	180.540000
BestRoute	257	180.543000
BestRoute	259	180.545000
BestRoute	260	182.671000
BestRoute	262	182.673000
BestRoute	264	182.675000
BestRoute	266	182.677000
BestRoute	267	182.679000
BestRoute	269	182.681000
BestRoute	271	182.683000
BestRoute	273	182.685000
BestRoute	274	184.811000
BestRoute	276	184.813000
BestRoute	278	184.815000
BestRoute	280	184.817000
BestRoute	281	184.819000
BestRoute	110	614.485000
BestRoute	112	790.820000
BestRoute	115	787.988000
BestRoute	117	962.907000
BestRoute	119	962.199000
BestRoute	122	961.491000
BestRoute	124	960.783000
BestRoute	126	1132.870000
BestRoute	174	1032.090000
BestRoute	176	1031.380000
BestRoute	179	1028.550000
BestRoute	181	1027.840000
BestRoute	183	1027.130000
BestRoute	186	1026.430000
BestRoute	188	1025.720000
BestRoute	200	1173.480000
BestRoute	202	1172.770000
BestRoute	204	1172.060000
BestRoute	207	1169.230000
BestRoute	209	1168.520000
BestRoute	211	1167.810000
BestRoute	214	1167.110000
BestRoute	216	1166.400000
BestRoute	218	1165.690000
BestRoute	221	1162.860000
BestRoute	223	1162.150000
BestRoute	225	1161.440000
BestRoute	190	1201.090000
BestRoute	193	1198.260000
BestRoute	195	1197.550000
BestRoute	197	1196.840000
BestRoute	283	119.198000
BestRoute	284	121.324000
BestRoute	285	122.034000
BestRoute	286	124.160000
BestRoute	287	124.870000
BestRoute	288	126.996000
BestRoute	289	127.706000
BestRoute	290	129.832000
BestRoute	228	1311.330000
BestRoute	230	1310.620000
BestRoute	232	1309.910000
BestRoute	235	1307.080000
BestRoute	237	1306.370000
BestRoute	239	1305.420000
BestRoute	242	1304.710000
BestRoute	244	1304.000000
BestRoute	246	1303.290000
BestRoute	249	1300.460000
BestRoute	251	1299.750000
BestRoute	253	1299.050000
BestRoute	256	1298.340000
BestRoute	258	1297.630000
BestRoute	261	1294.800000
BestRoute	263	1294.100000
BestRoute	265	1293.390000
BestRoute	268	1292.680000
BestRoute	270	1291.980000
BestRoute	272	1291.270000
BestRoute	275	1288.440000
BestRoute	277	1287.730000
BestRoute	279	1287.030000
BestRoute	282	1286.320000
BestRoute	291	119.198000
BestRoute	292	121.324000
BestRoute	293	121.324000
BestRoute	294	123.450000
BestRoute	295	123.450000
BestRoute	296	125.576000
BestRoute	297	125.576000
BestRoute	298	127.702000
BestRoute	299	127.702000
BestRoute	300	129.828000
BestRoute	301	129.828000
BestRoute	302	131.954000
BestRoute	303	131.954000
BestRoute	304	134.080000
BestRoute	305	134.080000
BestRoute	306	136.206000
BestRoute	307	121.820000
BestRoute	308	123.946000
BestRoute	309	124.656000
BestRoute	310	126.782000
BestRoute	311	127.492000
BestRoute	312	129.618000
BestRoute	313	130.328000
BestRoute	314	132.454000
BestRoute	315	133.164000
BestRoute	316	135.290000
BestRoute	317	136.000000
BestRoute	318	138.126000
BestRoute	319	138.836000
BestRoute	320	140.962000
BestRoute	321	141.672000
BestRoute	322	143.798000
BestRoute	323	144.508000
BestRoute	324	146.634000
BestRoute	325	147.344000
BestRoute	326	149.470000
BestRoute	327	150.180000
BestRoute	328	152.306000
BestRoute	329	153.016000
BestRoute	330	155.142000
BestRoute	331	155.850000
BestRoute	332	157.976000
BestRoute	333	158.685000
BestRoute	334	160.811000
BestRoute	335	161.519000
BestRoute	336	163.645000
BestRoute	337	164.354000
BestRoute	338	166.480000
BestRoute	339	167.189000
BestRoute	340	169.315000
BestRoute	341	170.023000
BestRoute	342	172.149000
BestRoute	343	172.858000
BestRoute	344	174.984000
BestRoute	345	175.693000
BestRoute	346	177.819000
BestRoute	347	178.527000
BestRoute	348	180.653000
BestRoute	349	181.362000
BestRoute	350	183.488000
BestRoute	352	184.197000
BestRoute	353	184.905000
BestRoute	355	131.812000
BestRoute	356	133.938000
BestRoute	357	133.938000
BestRoute	358	136.064000
BestRoute	359	136.064000
BestRoute	360	138.190000
BestRoute	361	138.190000
BestRoute	362	140.316000
BestRoute	363	140.316000
BestRoute	364	142.442000
BestRoute	365	142.442000
BestRoute	366	144.568000
BestRoute	367	144.568000
BestRoute	368	146.694000
BestRoute	369	146.694000
BestRoute	370	148.820000
BestRoute	371	148.820000
BestRoute	372	150.946000
BestRoute	373	150.946000
BestRoute	374	153.072000
BestRoute	375	153.072000
BestRoute	376	155.198000
BestRoute	377	155.198000
BestRoute	378	157.324000
BestRoute	379	157.324000
BestRoute	380	159.450000
BestRoute	381	159.450000
BestRoute	382	161.576000
BestRoute	383	161.576000
BestRoute	384	163.702000
BestRoute	385	163.702000
BestRoute	386	165.828000
BestRoute	387	165.828000
BestRoute	389	165.828000
BestRoute	390	167.954000
BestRoute	392	167.954000
BestRoute	394	167.954000
BestRoute	396	167.954000
BestRoute	397	167.954000
BestRoute	399	167.954000
BestRoute	401	167.954000
BestRoute	403	167.954000
BestRoute	404	170.080000
BestRoute	406	170.080000
BestRoute	408	170.080000
BestRoute	410	170.080000
BestRoute	411	170.080000
BestRoute	413	170.080000
BestRoute	415	170.080000
BestRoute	417	170.080000
BestRoute	418	172.206000
BestRoute	420	172.206000
BestRoute	422	172.206000
BestRoute	424	172.206000
BestRoute	425	172.206000
BestRoute	427	172.206000
BestRoute	429	172.206000
BestRoute	431	172.206000
BestRoute	432	174.332000
BestRoute	434	174.332000
BestRoute	436	174.332000
BestRoute	438	174.332000
BestRoute	439	174.332000
BestRoute	441	174.332000
BestRoute	443	174.332000
BestRoute	445	174.332000
BestRoute	446	176.458000
BestRoute	448	176.458000
BestRoute	450	176.458000
BestRoute	452	176.458000
BestRoute	453	176.458000
BestRoute	455	176.458000
BestRoute	457	176.458000
BestRoute	459	176.458000
BestRoute	460	178.584000
BestRoute	462	178.584000
BestRoute	464	178.584000
BestRoute	466	178.584000
BestRoute	467	178.584000
BestRoute	469	178.584000
BestRoute	471	178.584000
BestRoute	473	178.584000
BestRoute	474	180.710000
BestRoute	476	180.710000
BestRoute	478	180.710000
BestRoute	480	180.710000
BestRoute	481	180.710000
BestRoute	483	180.710000
BestRoute	485	180.710000
BestRoute	487	180.710000
BestRoute	488	182.836000
BestRoute	490	182.836000
BestRoute	492	182.836000
BestRoute	494	182.836000
BestRoute	495	182.836000
BestRoute	497	182.836000
BestRoute	499	182.836000
BestRoute	501	182.836000
BestRoute	502	184.962000
BestRoute	504	184.962000
BestRoute	506	184.962000
BestRoute	351	595.462000
BestRoute	354	772.513000
BestRoute	388	684.694000
BestRoute	391	857.493000
BestRoute	393	856.784000
BestRoute	395	856.075000
BestRoute	398	855.367000
BestRoute	414	1005.950000
BestRoute	416	1005.240000
BestRoute	400	1027.460000
BestRoute	402	1026.750000
BestRoute	405	1023.910000
BestRoute	407	1023.200000
BestRoute	409	1022.500000
BestRoute	412	1021.790000
BestRoute	423	1164.330000
BestRoute	426	1163.620000
BestRoute	428	1165.280000
BestRoute	430	1164.570000
BestRoute	433	1161.740000
BestRoute	435	1161.030000
BestRoute	437	1160.320000
BestRoute	440	1159.610000
BestRoute	442	1158.900000
BestRoute	419	1183.710000
BestRoute	444	1159.610000
BestRoute	421	1184.420000
BestRoute	447	1158.200000
BestRoute	449	1157.490000
BestRoute	451	1156.780000
BestRoute	454	1156.070000
BestRoute	507	119.198000
BestRoute	508	121.324000
BestRoute	509	122.033000
BestRoute	510	124.159000
BestRoute	511	124.867000
BestRoute	512	126.993000
BestRoute	513	127.702000
BestRoute	514	129.828000
BestRoute	515	130.537000
BestRoute	516	132.663000
BestRoute	456	1297.900000
BestRoute	458	1297.190000
BestRoute	461	1294.360000
BestRoute	463	1293.650000
BestRoute	465	1292.940000
BestRoute	468	1292.230000
BestRoute	470	1291.520000
BestRoute	472	1290.820000
BestRoute	475	1287.980000
BestRoute	477	1287.270000
BestRoute	479	1286.560000
