Type	SeqNo	RetxCount
BestRoute	0	1
BestRoute	1	1
BestRoute	2	1
BestRoute	3	1
BestRoute	4	1
BestRoute	5	1
BestRoute	6	1
BestRoute	7	1
BestRoute	8	1
BestRoute	9	1
BestRoute	10	1
BestRoute	11	1
BestRoute	12	1
BestRoute	13	1
BestRoute	14	1
BestRoute	15	1
BestRoute	16	1
BestRoute	17	1
BestRoute	18	1
BestRoute	19	1
BestRoute	20	1
BestRoute	21	1
BestRoute	22	1
BestRoute	23	1
BestRoute	24	1
BestRoute	25	1
BestRoute	26	1
BestRoute	27	1
BestRoute	28	1
BestRoute	29	1
BestRoute	30	1
BestRoute	31	1
BestRoute	32	1
BestRoute	33	1
BestRoute	34	1
BestRoute	35	1
BestRoute	36	1
BestRoute	37	1
BestRoute	38	1
BestRoute	39	1
BestRoute	40	1
BestRoute	41	1
BestRoute	42	1
BestRoute	43	1
BestRoute	44	1
BestRoute	45	1
BestRoute	46	1
BestRoute	47	1
BestRoute	48	1
BestRoute	49	1
BestRoute	50	1
BestRoute	51	1
BestRoute	52	1
BestRoute	53	1
BestRoute	54	1
BestRoute	55	1
BestRoute	56	1
BestRoute	57	1
BestRoute	58	1
BestRoute	59	1
BestRoute	60	1
BestRoute	61	1
BestRoute	62	1
BestRoute	63	1
BestRoute	64	1
BestRoute	65	1
BestRoute	66	1
BestRoute	67	1
BestRoute	68	1
BestRoute	69	1
BestRoute	70	1
BestRoute	71	1
BestRoute	72	1
BestRoute	73	1
BestRoute	74	1
BestRoute	75	1
BestRoute	76	1
BestRoute	77	1
BestRoute	78	1
BestRoute	79	1
BestRoute	80	1
BestRoute	81	1
BestRoute	82	1
BestRoute	83	1
BestRoute	84	1
BestRoute	85	1
BestRoute	86	1
BestRoute	87	1
BestRoute	88	1
BestRoute	89	1
BestRoute	90	1
BestRoute	91	1
BestRoute	92	1
BestRoute	93	1
BestRoute	94	1
BestRoute	95	1
BestRoute	96	1
BestRoute	97	1
BestRoute	98	1
BestRoute	99	1
BestRoute	100	1
BestRoute	101	1
BestRoute	102	1
BestRoute	103	1
BestRoute	104	1
BestRoute	105	1
BestRoute	106	1
BestRoute	107	1
BestRoute	108	1
BestRoute	109	1
BestRoute	111	1
BestRoute	113	1
BestRoute	114	1
BestRoute	116	1
BestRoute	118	1
BestRoute	120	1
BestRoute	121	1
BestRoute	123	1
BestRoute	125	1
BestRoute	127	1
BestRoute	128	1
BestRoute	129	1
BestRoute	130	1
BestRoute	131	1
BestRoute	132	1
BestRoute	133	1
BestRoute	134	1
BestRoute	135	1
BestRoute	136	1
BestRoute	137	1
BestRoute	138	1
BestRoute	139	1
BestRoute	140	1
BestRoute	141	1
BestRoute	142	1
BestRoute	143	1
BestRoute	144	1
BestRoute	145	1
BestRoute	146	1
BestRoute	147	1
BestRoute	148	1
BestRoute	149	1
BestRoute	150	1
BestRoute	151	1
BestRoute	152	1
BestRoute	153	1
BestRoute	154	1
BestRoute	155	1
BestRoute	156	1
BestRoute	157	1
BestRoute	158	1
BestRoute	159	1
BestRoute	160	1
BestRoute	161	1
BestRoute	162	1
BestRoute	163	1
BestRoute	164	1
BestRoute	165	1
BestRoute	166	1
BestRoute	167	1
BestRoute	168	1
BestRoute	169	1
BestRoute	170	1
BestRoute	171	1
BestRoute	172	1
BestRoute	173	1
BestRoute	175	1
BestRoute	177	1
BestRoute	178	1
BestRoute	180	1
BestRoute	182	1
BestRoute	184	1
BestRoute	185	1
BestRoute	187	1
BestRoute	189	1
BestRoute	191	1
BestRoute	192	1
BestRoute	194	1
BestRoute	196	1
BestRoute	198	1
BestRoute	199	1
BestRoute	201	1
BestRoute	203	1
BestRoute	205	1
BestRoute	206	1
BestRoute	208	1
BestRoute	210	1
BestRoute	212	1
BestRoute	213	1
BestRoute	215	1
BestRoute	217	1
BestRoute	219	1
BestRoute	220	1
BestRoute	222	1
BestRoute	224	1
BestRoute	226	1
BestRoute	227	1
BestRoute	229	1
BestRoute	231	1
