SeqNo	Delay
bestRouting	0	0.063179
bestRouting	1	0.063189
bestRouting	2	0.065313
bestRouting	3	0.063189
bestRouting	4	0.065313
bestRouting	5	0.065313
bestRouting	6	0.067437
bestRouting	7	0.063189
bestRouting	8	0.065313
bestRouting	9	0.065313
bestRouting	10	0.067437
bestRouting	11	0.067437
bestRouting	12	0.069561
bestRouting	13	0.069561
bestRouting	14	0.071685
bestRouting	15	0.063189
bestRouting	16	0.065313
bestRouting	17	0.065313
bestRouting	18	0.067437
bestRouting	19	0.067437
bestRouting	20	0.069561
bestRouting	21	0.069561
bestRouting	22	0.071685
bestRouting	23	0.071685
bestRouting	24	0.073809
bestRouting	25	0.073809
bestRouting	26	0.075933
bestRouting	27	0.075933
bestRouting	28	0.078057
bestRouting	29	0.078057
bestRouting	30	0.080181
bestRouting	31	0.063189
bestRouting	32	0.065313
bestRouting	33	0.065313
bestRouting	34	0.067437
bestRouting	35	0.067437
bestRouting	36	0.069561
bestRouting	37	0.069561
bestRouting	38	0.071685
bestRouting	39	0.071685
bestRouting	40	0.073809
bestRouting	41	0.073809
bestRouting	42	0.075933
bestRouting	43	0.075933
bestRouting	44	0.078057
bestRouting	45	0.078057
bestRouting	46	0.080181
bestRouting	47	0.080181
bestRouting	48	0.082305
bestRouting	49	0.082305
bestRouting	50	0.084429
bestRouting	51	0.084429
bestRouting	52	0.086553
bestRouting	53	0.086553
bestRouting	54	0.088677
bestRouting	55	0.088677
bestRouting	56	0.090801
bestRouting	57	0.090801
bestRouting	58	0.092925
bestRouting	59	0.092925
bestRouting	60	0.095049
bestRouting	61	0.095049
bestRouting	62	0.097173
bestRouting	63	0.067968
bestRouting	64	0.070092
bestRouting	65	0.070092
bestRouting	66	0.072216
bestRouting	67	0.072216
bestRouting	68	0.074340
bestRouting	69	0.074340
bestRouting	70	0.076464
bestRouting	71	0.076464
bestRouting	72	0.078588
bestRouting	73	0.078588
bestRouting	74	0.080712
bestRouting	75	0.080712
bestRouting	76	0.082836
bestRouting	77	0.082836
bestRouting	78	0.084960
bestRouting	79	0.084960
bestRouting	80	0.087084
bestRouting	81	0.087084
bestRouting	82	0.089208
bestRouting	83	0.089208
bestRouting	84	0.091332
bestRouting	85	0.091332
bestRouting	86	0.093456
bestRouting	87	0.093456
bestRouting	88	0.095580
bestRouting	89	0.095580
bestRouting	90	0.097704
bestRouting	91	0.097704
bestRouting	92	0.099828
bestRouting	93	0.099828
bestRouting	94	0.101952
bestRouting	95	0.101952
bestRouting	96	0.104076
bestRouting	97	0.104076
bestRouting	98	0.106200
bestRouting	99	0.106200
bestRouting	100	0.108324
bestRouting	101	0.108324
bestRouting	102	0.110448
bestRouting	103	0.110448
bestRouting	104	0.112572
bestRouting	106	0.112572
bestRouting	108	0.112572
bestRouting	109	0.112572
bestRouting	111	0.112572
bestRouting	113	0.112572
bestRouting	115	0.112572
bestRouting	116	0.114696
bestRouting	118	0.114696
bestRouting	120	0.114696
bestRouting	122	0.114696
bestRouting	123	0.114696
bestRouting	125	0.114696
bestRouting	127	0.114696
bestRouting	129	0.114696
bestRouting	130	0.116820
bestRouting	132	0.116820
bestRouting	134	0.116820
bestRouting	136	0.116820
bestRouting	137	0.116820
bestRouting	139	0.116820
bestRouting	141	0.116820
bestRouting	143	0.116820
bestRouting	144	0.118944
bestRouting	146	0.118944
bestRouting	148	0.118944
bestRouting	150	0.118944
bestRouting	151	0.118944
bestRouting	153	0.118944
bestRouting	155	0.118944
bestRouting	157	0.118944
bestRouting	158	0.121068
bestRouting	160	0.121068
bestRouting	162	0.121068
bestRouting	164	0.121068
bestRouting	165	0.121068
bestRouting	167	0.121068
bestRouting	169	0.121068
bestRouting	171	0.121068
bestRouting	172	0.123192
bestRouting	174	0.123192
bestRouting	176	0.123192
bestRouting	178	0.123192
bestRouting	179	0.123192
bestRouting	181	0.123192
bestRouting	183	0.123192
bestRouting	185	0.123192
bestRouting	186	0.125316
bestRouting	188	0.125316
bestRouting	190	0.125316
bestRouting	192	0.125316
bestRouting	193	0.125316
bestRouting	195	0.125316
bestRouting	197	0.125316
bestRouting	199	0.125316
bestRouting	200	0.127440
bestRouting	202	0.127440
bestRouting	204	0.127440
bestRouting	206	0.127440
bestRouting	207	0.127440
bestRouting	209	0.127440
bestRouting	211	0.127440
bestRouting	213	0.127440
