Type	Time	AverageDrop
MDWRR3	1	0.000000
MDWRR3	2	0.000000
MDWRR3	3	0.000000
MDWRR3	4	0.000000
MDWRR3	5	0.000000
MDWRR3	6	1.000000
MDWRR3	7	32.000000
MDWRR3	8	6.000000
MDWRR3	9	1.000000
MDWRR3	10	0.000000
MDWRR3	11	0.000000
MDWRR3	12	0.000000
MDWRR3	13	0.000000
MDWRR3	14	0.000000
MDWRR3	15	0.000000
MDWRR3	16	0.000000
MDWRR3	17	0.000000
MDWRR3	18	0.000000
MDWRR3	19	0.000000
MDWRR3	20	0.000000
MDWRR3	21	0.000000
MDWRR3	22	0.000000
MDWRR3	23	0.000000
MDWRR3	24	0.000000
MDWRR3	25	0.000000
MDWRR3	26	0.000000
MDWRR3	27	0.000000
MDWRR3	28	0.000000
MDWRR3	29	0.000000
MDWRR3	30	0.000000
MDWRR3	31	0.000000
MDWRR3	32	0.000000
MDWRR3	33	0.000000
MDWRR3	34	0.000000
MDWRR3	35	0.000000
MDWRR3	36	0.000000
MDWRR3	37	0.000000
MDWRR3	38	0.000000
MDWRR3	39	0.000000
MDWRR3	40	0.000000
MDWRR3	41	0.000000
MDWRR3	42	0.000000
MDWRR3	43	0.000000
MDWRR3	44	0.000000
MDWRR3	45	0.000000
MDWRR3	46	0.000000
MDWRR3	47	0.000000
MDWRR3	48	0.000000
MDWRR3	49	0.000000
MDBF3	1	0.000000
MDBF3	2	353.000000
MDBF3	3	69.000000
MDBF3	4	13.000000
MDBF3	5	7.000000
MDBF3	6	182.000000
MDBF3	7	127.000000
MDBF3	8	32.000000
MDBF3	9	34.000000
MDBF3	10	54.000000
MDBF3	11	57.000000
MDBF3	12	58.000000
MDBF3	13	56.000000
MDBF3	14	49.000000
MDBF3	15	59.000000
MDBF3	16	64.000000
MDBF3	17	65.000000
MDBF3	18	12.000000
MDBF3	19	2.000000
MDBF3	20	0.000000
MDBF3	21	0.000000
MDBF3	22	0.000000
MDBF3	23	0.000000
MDBF3	24	0.000000
MDBF3	25	0.000000
MDBF3	26	0.000000
MDBF3	27	0.000000
MDBF3	28	0.000000
MDBF3	29	0.000000
MDBF3	30	0.000000
MDBF3	31	0.000000
MDBF3	32	0.000000
MDBF3	33	0.000000
MDBF3	34	0.000000
MDBF3	35	0.000000
MDBF3	36	0.000000
MDBF3	37	0.000000
MDBF3	38	0.000000
MDBF3	39	0.000000
MDBF3	40	0.000000
MDBF3	41	0.000000
MDBF3	42	0.000000
MDBF3	43	0.000000
MDBF3	44	0.000000
MDBF3	45	0.000000
MDBF3	46	0.000000
MDBF3	47	0.000000
MDBF3	48	0.000000
MDBF3	49	0.000000
MDPF3	1	0.000000
MDPF3	2	334.000000
MDPF3	3	66.000000
MDPF3	4	13.000000
MDPF3	5	2.000000
MDPF3	6	337.000000
MDPF3	7	67.000000
MDPF3	8	13.000000
MDPF3	9	2.000000
MDPF3	10	335.000000
MDPF3	11	66.000000
MDPF3	12	13.000000
MDPF3	13	2.000000
MDPF3	14	0.000000
MDPF3	15	0.000000
MDPF3	16	0.000000
MDPF3	17	0.000000
MDPF3	18	0.000000
MDPF3	19	0.000000
MDPF3	20	0.000000
MDPF3	21	0.000000
MDPF3	22	0.000000
MDPF3	23	0.000000
MDPF3	24	0.000000
MDPF3	25	0.000000
MDPF3	26	0.000000
MDPF3	27	0.000000
MDPF3	28	0.000000
MDPF3	29	0.000000
MDPF3	30	0.000000
MDPF3	31	0.000000
MDPF3	32	0.000000
MDPF3	33	0.000000
MDPF3	34	0.000000
MDPF3	35	0.000000
MDPF3	36	0.000000
MDPF3	37	0.000000
MDPF3	38	0.000000
MDPF3	39	0.000000
MDPF3	40	0.000000
MDPF3	41	0.000000
MDPF3	42	0.000000
MDPF3	43	0.000000
MDPF3	44	0.000000
MDPF3	45	0.000000
MDPF3	46	0.000000
MDPF3	47	0.000000
MDPF3	48	0.000000
MDPF3	49	0.000000
