Type	Time	AverageDrop
BestRoute	1	8.000000
BestRoute	2	45.000000
BestRoute	3	49.000000
BestRoute	4	58.000000
BestRoute	5	53.000000
BestRoute	6	58.000000
BestRoute	7	17.000000
BestRoute	8	39.000000
BestRoute	9	55.000000
BestRoute	10	53.000000
BestRoute	11	58.000000
BestRoute	12	53.000000
BestRoute	13	16.000000
BestRoute	14	45.000000
BestRoute	15	51.000000
BestRoute	16	58.000000
BestRoute	17	53.000000
BestRoute	18	58.000000
BestRoute	19	17.000000
BestRoute	20	39.000000
BestRoute	21	55.000000
BestRoute	22	11.000000
BestRoute	23	2.000000
BestRoute	24	0.000000
BestRoute	25	0.000000
BestRoute	26	0.000000
BestRoute	27	0.000000
BestRoute	28	0.000000
BestRoute	29	0.000000
BestRoute	30	0.000000
BestRoute	31	0.000000
BestRoute	32	0.000000
BestRoute	33	0.000000
BestRoute	34	0.000000
BestRoute	35	0.000000
BestRoute	36	0.000000
BestRoute	37	0.000000
BestRoute	38	0.000000
BestRoute	39	0.000000
BestRoute	40	0.000000
BestRoute	41	0.000000
BestRoute	42	0.000000
BestRoute	43	0.000000
BestRoute	44	0.000000
BestRoute	45	0.000000
BestRoute	46	0.000000
BestRoute	47	0.000000
BestRoute	48	0.000000
BestRoute	49	0.000000
PI-based	1	0.000000
PI-based	2	0.000000
PI-based	3	0.000000
PI-based	4	0.000000
PI-based	5	0.000000
PI-based	6	0.000000
PI-based	7	0.000000
PI-based	8	0.000000
PI-based	9	0.000000
PI-based	10	0.000000
PI-based	11	0.000000
PI-based	12	0.000000
PI-based	13	0.000000
PI-based	14	0.000000
PI-based	15	0.000000
PI-based	16	0.000000
PI-based	17	0.000000
PI-based	18	0.000000
PI-based	19	0.000000
PI-based	20	0.000000
PI-based	21	0.000000
PI-based	22	0.000000
PI-based	23	0.000000
PI-based	24	0.000000
PI-based	25	0.000000
PI-based	26	0.000000
PI-based	27	0.000000
PI-based	28	0.000000
PI-based	29	0.000000
PI-based	30	0.000000
PI-based	31	0.000000
PI-based	32	0.000000
PI-based	33	0.000000
PI-based	34	0.000000
PI-based	35	0.000000
PI-based	36	0.000000
PI-based	37	0.000000
PI-based	38	0.000000
PI-based	39	0.000000
PI-based	40	0.000000
PI-based	41	0.000000
PI-based	42	0.000000
PI-based	43	0.000000
PI-based	44	0.000000
PI-based	45	0.000000
PI-based	46	0.000000
PI-based	47	0.000000
PI-based	48	0.000000
PI-based	49	0.000000
MDPF-2	1	0.000000
MDPF-2	2	0.000000
MDPF-2	3	0.000000
MDPF-2	4	0.000000
MDPF-2	5	0.000000
MDPF-2	6	0.000000
MDPF-2	7	0.000000
MDPF-2	8	0.000000
MDPF-2	9	0.000000
MDPF-2	10	0.000000
MDPF-2	11	0.000000
MDPF-2	12	0.000000
MDPF-2	13	0.000000
MDPF-2	14	0.000000
MDPF-2	15	0.000000
MDPF-2	16	0.000000
MDPF-2	17	0.000000
MDPF-2	18	0.000000
MDPF-2	19	0.000000
MDPF-2	20	0.000000
MDPF-2	21	0.000000
MDPF-2	22	0.000000
MDPF-2	23	0.000000
MDPF-2	24	0.000000
MDPF-2	25	0.000000
MDPF-2	26	0.000000
MDPF-2	27	0.000000
MDPF-2	28	0.000000
MDPF-2	29	0.000000
MDPF-2	30	0.000000
MDPF-2	31	0.000000
MDPF-2	32	0.000000
MDPF-2	33	0.000000
MDPF-2	34	0.000000
MDPF-2	35	0.000000
MDPF-2	36	0.000000
MDPF-2	37	0.000000
MDPF-2	38	0.000000
MDPF-2	39	0.000000
MDPF-2	40	0.000000
MDPF-2	41	0.000000
MDPF-2	42	0.000000
MDPF-2	43	0.000000
MDPF-2	44	0.000000
MDPF-2	45	0.000000
MDPF-2	46	0.000000
MDPF-2	47	0.000000
MDPF-2	48	0.000000
MDPF-2	49	0.000000
