Type	Time	AverageDrop
BestRoute	1	18.000000
BestRoute	2	30.000000
BestRoute	3	56.000000
BestRoute	4	11.000000
BestRoute	5	59.000000
BestRoute	6	11.000000
BestRoute	7	52.000000
BestRoute	8	16.000000
BestRoute	9	53.000000
BestRoute	10	46.000000
BestRoute	11	23.000000
BestRoute	12	60.000000
BestRoute	13	11.000000
BestRoute	14	53.000000
BestRoute	15	9.000000
BestRoute	16	56.000000
BestRoute	17	15.000000
BestRoute	18	50.000000
BestRoute	19	49.000000
BestRoute	20	24.000000
BestRoute	21	57.000000
BestRoute	22	10.000000
BestRoute	23	56.000000
BestRoute	24	10.000000
BestRoute	25	54.000000
BestRoute	26	15.000000
BestRoute	27	51.000000
BestRoute	28	47.000000
BestRoute	29	24.000000
BestRoute	30	58.000000
BestRoute	31	10.000000
BestRoute	32	54.000000
BestRoute	33	9.000000
BestRoute	34	56.000000
BestRoute	35	15.000000
BestRoute	36	50.000000
BestRoute	37	49.000000
BestRoute	38	24.000000
BestRoute	39	57.000000
BestRoute	40	10.000000
BestRoute	41	56.000000
BestRoute	42	10.000000
BestRoute	43	54.000000
BestRoute	44	15.000000
BestRoute	45	51.000000
BestRoute	46	47.000000
BestRoute	47	24.000000
BestRoute	48	58.000000
BestRoute	49	10.000000
BestRoute	50	54.000000
BestRoute	51	9.000000
BestRoute	52	56.000000
BestRoute	53	15.000000
BestRoute	54	50.000000
BestRoute	55	49.000000
BestRoute	56	24.000000
BestRoute	57	57.000000
BestRoute	58	10.000000
BestRoute	59	56.000000
BestRoute	60	10.000000
BestRoute	61	25.000000
BestRoute	62	4.000000
BestRoute	63	0.000000
BestRoute	64	0.000000
BestRoute	65	0.000000
BestRoute	66	0.000000
BestRoute	67	0.000000
BestRoute	68	0.000000
BestRoute	69	0.000000
MDPF3	1	0.000000
MDPF3	2	19.000000
MDPF3	3	25.000000
MDPF3	4	26.000000
MDPF3	5	48.000000
MDPF3	6	92.000000
MDPF3	7	123.000000
MDPF3	8	125.000000
MDPF3	9	146.000000
MDPF3	10	182.000000
MDPF3	11	35.000000
MDPF3	12	5.000000
MDPF3	13	0.000000
MDPF3	14	0.000000
MDPF3	15	0.000000
MDPF3	16	0.000000
MDPF3	17	0.000000
MDPF3	18	0.000000
MDPF3	19	0.000000
MDPF3	20	0.000000
MDPF3	21	0.000000
MDPF3	22	0.000000
MDPF3	23	0.000000
MDPF3	24	0.000000
MDPF3	25	0.000000
MDPF3	26	0.000000
MDPF3	27	0.000000
MDPF3	28	0.000000
MDPF3	29	0.000000
MDPF3	30	0.000000
MDPF3	31	0.000000
MDPF3	32	0.000000
MDPF3	33	0.000000
MDPF3	34	0.000000
MDPF3	35	0.000000
MDPF3	36	0.000000
MDPF3	37	0.000000
MDPF3	38	0.000000
MDPF3	39	0.000000
MDPF3	40	0.000000
MDPF3	41	0.000000
MDPF3	42	0.000000
MDPF3	43	0.000000
MDPF3	44	0.000000
MDPF3	45	0.000000
MDPF3	46	0.000000
MDPF3	47	0.000000
MDPF3	48	0.000000
MDPF3	49	0.000000
MDPF3	50	0.000000
MDPF3	51	0.000000
MDPF3	52	0.000000
MDPF3	53	0.000000
MDPF3	54	0.000000
MDPF3	55	0.000000
MDPF3	56	0.000000
MDPF3	57	0.000000
MDPF3	58	0.000000
MDPF3	59	0.000000
MDPF3	60	0.000000
MDPF3	61	0.000000
MDPF3	62	0.000000
MDPF3	63	0.000000
MDPF3	64	0.000000
MDPF3	65	0.000000
MDPF3	66	0.000000
MDPF3	67	0.000000
MDPF3	68	0.000000
MDPF3	69	0.000000
EPF3	1	0.000000
EPF3	2	40.000000
EPF3	3	30.000000
EPF3	4	133.000000
EPF3	5	26.000000
EPF3	6	3.000000
EPF3	7	0.000000
EPF3	8	0.000000
EPF3	9	11.000000
EPF3	10	108.000000
EPF3	11	20.000000
EPF3	12	2.000000
EPF3	13	0.000000
EPF3	14	72.000000
EPF3	15	105.000000
EPF3	16	19.000000
EPF3	17	3.000000
EPF3	18	0.000000
EPF3	19	0.000000
EPF3	20	153.000000
EPF3	21	29.000000
EPF3	22	4.000000
EPF3	23	0.000000
EPF3	24	0.000000
EPF3	25	65.000000
EPF3	26	139.000000
EPF3	27	26.000000
EPF3	28	4.000000
EPF3	29	0.000000
EPF3	30	0.000000
EPF3	31	2.000000
EPF3	32	36.000000
EPF3	33	6.000000
EPF3	34	0.000000
EPF3	35	0.000000
EPF3	36	0.000000
EPF3	37	0.000000
EPF3	38	0.000000
EPF3	39	0.000000
EPF3	40	0.000000
EPF3	41	0.000000
EPF3	42	0.000000
EPF3	43	0.000000
EPF3	44	0.000000
EPF3	45	0.000000
EPF3	46	0.000000
EPF3	47	0.000000
EPF3	48	0.000000
EPF3	49	0.000000
EPF3	50	0.000000
EPF3	51	0.000000
EPF3	52	0.000000
EPF3	53	0.000000
EPF3	54	0.000000
EPF3	55	0.000000
EPF3	56	0.000000
EPF3	57	0.000000
EPF3	58	0.000000
EPF3	59	0.000000
EPF3	60	0.000000
EPF3	61	0.000000
EPF3	62	0.000000
EPF3	63	0.000000
EPF3	64	0.000000
EPF3	65	0.000000
EPF3	66	0.000000
EPF3	67	0.000000
EPF3	68	0.000000
EPF3	69	0.000000
