Type	Time	AverageInData
BestRoute	1	0.017481
BestRoute	2	0.029135
BestRoute	3	0.056782
BestRoute	4	0.058641
BestRoute	5	0.086908
BestRoute	6	0.090627
BestRoute	7	0.116167
BestRoute	8	0.126333
BestRoute	9	0.146293
BestRoute	10	0.167121
BestRoute	11	0.175924
BestRoute	12	0.204934
BestRoute	13	0.206794
BestRoute	14	0.234317
BestRoute	15	0.238036
BestRoute	16	0.264195
BestRoute	17	0.273370
BestRoute	18	0.293578
BestRoute	19	0.314902
BestRoute	20	0.323704
BestRoute	21	0.352219
BestRoute	22	0.354079
BestRoute	23	0.381974
BestRoute	24	0.385693
BestRoute	25	0.411604
BestRoute	26	0.421151
BestRoute	27	0.441235
BestRoute	28	0.462435
BestRoute	29	0.471113
BestRoute	30	0.499876
BestRoute	31	0.501736
BestRoute	32	0.529383
BestRoute	33	0.533102
BestRoute	34	0.559261
BestRoute	35	0.568559
BestRoute	36	0.588644
BestRoute	37	0.609968
BestRoute	38	0.618770
BestRoute	39	0.647285
BestRoute	40	0.649145
BestRoute	41	0.677039
BestRoute	42	0.680759
BestRoute	43	0.706670
BestRoute	44	0.716216
BestRoute	45	0.736301
BestRoute	46	0.757501
BestRoute	47	0.766179
BestRoute	48	0.794942
BestRoute	49	0.796801
BestRoute	50	0.824448
BestRoute	51	0.828168
BestRoute	52	0.854327
BestRoute	53	0.863625
BestRoute	54	0.883709
BestRoute	55	0.905033
BestRoute	56	0.913836
BestRoute	57	0.942351
BestRoute	58	0.944210
BestRoute	59	0.972105
BestRoute	60	0.975824
BestRoute	61	0.998140
BestRoute	62	1.000000
BestRoute	63	1.000000
BestRoute	64	1.000000
BestRoute	65	1.000000
BestRoute	66	1.000000
BestRoute	67	1.000000
BestRoute	68	1.000000
BestRoute	69	1.000000
MDPF3	1	0.014505
MDPF3	2	0.089140
MDPF3	3	0.159311
MDPF3	4	0.253533
MDPF3	5	0.368212
MDPF3	6	0.490330
MDPF3	7	0.618026
MDPF3	8	0.748326
MDPF3	9	0.884949
MDPF3	10	1.005827
MDPF3	11	1.020208
MDPF3	12	1.020208
MDPF3	13	1.020208
MDPF3	14	1.020208
MDPF3	15	1.020208
MDPF3	16	1.020208
MDPF3	17	1.020208
MDPF3	18	1.020208
MDPF3	19	1.020208
MDPF3	20	1.020208
MDPF3	21	1.020208
MDPF3	22	1.020208
MDPF3	23	1.020208
MDPF3	24	1.020208
MDPF3	25	1.020208
MDPF3	26	1.020208
MDPF3	27	1.020208
MDPF3	28	1.020208
MDPF3	29	1.020208
MDPF3	30	1.020208
MDPF3	31	1.020208
MDPF3	32	1.020208
MDPF3	33	1.020208
MDPF3	34	1.020208
MDPF3	35	1.020208
MDPF3	36	1.020208
MDPF3	37	1.020208
MDPF3	38	1.020208
MDPF3	39	1.020208
MDPF3	40	1.020208
MDPF3	41	1.020208
MDPF3	42	1.020208
MDPF3	43	1.020208
MDPF3	44	1.020208
MDPF3	45	1.020208
MDPF3	46	1.020208
MDPF3	47	1.020208
MDPF3	48	1.020208
MDPF3	49	1.020208
MDPF3	50	1.020208
MDPF3	51	1.020208
MDPF3	52	1.020208
MDPF3	53	1.020208
MDPF3	54	1.020208
MDPF3	55	1.020208
MDPF3	56	1.020208
MDPF3	57	1.020208
MDPF3	58	1.020208
MDPF3	59	1.020208
MDPF3	60	1.020208
MDPF3	61	1.020208
MDPF3	62	1.020208
MDPF3	63	1.020208
MDPF3	64	1.020208
MDPF3	65	1.020208
MDPF3	66	1.020208
MDPF3	67	1.020208
MDPF3	68	1.020208
MDPF3	69	1.020208
EPF3	1	0.010290
EPF3	2	0.085916
EPF3	3	0.139474
EPF3	4	0.203942
EPF3	5	0.213365
EPF3	6	0.215224
EPF3	7	0.215224
EPF3	8	0.224771
EPF3	9	0.298289
EPF3	10	0.369080
EPF3	11	0.382594
EPF3	12	0.384825
EPF3	13	0.386561
EPF3	14	0.454872
EPF3	15	0.500868
EPF3	16	0.505579
EPF3	17	0.505579
EPF3	18	0.505579
EPF3	19	0.517233
EPF3	20	0.620010
EPF3	21	0.626581
EPF3	22	0.627944
EPF3	23	0.627944
EPF3	24	0.629060
EPF3	25	0.695140
EPF3	26	0.746591
EPF3	27	0.752170
EPF3	28	0.752913
EPF3	29	0.752913
EPF3	30	0.764443
EPF3	31	0.866848
EPF3	32	0.976444
EPF3	33	1.000000
EPF3	34	1.000000
EPF3	35	1.000000
EPF3	36	1.000000
EPF3	37	1.000000
EPF3	38	1.000000
EPF3	39	1.000000
EPF3	40	1.000000
EPF3	41	1.000000
EPF3	42	1.000000
EPF3	43	1.000000
EPF3	44	1.000000
EPF3	45	1.000000
EPF3	46	1.000000
EPF3	47	1.000000
EPF3	48	1.000000
EPF3	49	1.000000
EPF3	50	1.000000
EPF3	51	1.000000
EPF3	52	1.000000
EPF3	53	1.000000
EPF3	54	1.000000
EPF3	55	1.000000
EPF3	56	1.000000
EPF3	57	1.000000
EPF3	58	1.000000
EPF3	59	1.000000
EPF3	60	1.000000
EPF3	61	1.000000
EPF3	62	1.000000
EPF3	63	1.000000
EPF3	64	1.000000
EPF3	65	1.000000
EPF3	66	1.000000
EPF3	67	1.000000
EPF3	68	1.000000
EPF3	69	1.000000
