Type	Time	AverageInData
BestRoute	1	0.031242
BestRoute	2	0.070171
BestRoute	3	0.117778
BestRoute	4	0.173320
BestRoute	5	0.228614
BestRoute	6	0.282172
BestRoute	7	0.315398
BestRoute	8	0.357302
BestRoute	9	0.404662
BestRoute	10	0.457724
BestRoute	11	0.515497
BestRoute	12	0.567072
BestRoute	13	0.601785
BestRoute	14	0.641458
BestRoute	15	0.689313
BestRoute	16	0.744607
BestRoute	17	0.800149
BestRoute	18	0.853707
BestRoute	19	0.886933
BestRoute	20	0.928837
BestRoute	21	0.976196
BestRoute	22	1.000000
BestRoute	23	1.000000
BestRoute	24	1.000000
BestRoute	25	1.000000
BestRoute	26	1.000000
BestRoute	27	1.000000
BestRoute	28	1.000000
BestRoute	29	1.000000
BestRoute	30	1.000000
BestRoute	31	1.000000
BestRoute	32	1.000000
BestRoute	33	1.000000
BestRoute	34	1.000000
BestRoute	35	1.000000
BestRoute	36	1.000000
BestRoute	37	1.000000
BestRoute	38	1.000000
BestRoute	39	1.000000
BestRoute	40	1.000000
BestRoute	41	1.000000
BestRoute	42	1.000000
BestRoute	43	1.000000
BestRoute	44	1.000000
BestRoute	45	1.000000
BestRoute	46	1.000000
BestRoute	47	1.000000
BestRoute	48	1.000000
BestRoute	49	1.000000
PI-based	1	0.000496
PI-based	2	0.006199
PI-based	3	0.033226
PI-based	4	0.081577
PI-based	5	0.135879
PI-based	6	0.197124
PI-based	7	0.242251
PI-based	8	0.290107
PI-based	9	0.346640
PI-based	10	0.395487
PI-based	11	0.448054
PI-based	12	0.490702
PI-based	13	0.495909
PI-based	14	0.496405
PI-based	15	0.496405
PI-based	16	0.496405
PI-based	17	0.497396
PI-based	18	0.497396
PI-based	19	0.497892
PI-based	20	0.497892
PI-based	21	0.497892
PI-based	22	0.498636
PI-based	23	0.499380
PI-based	24	0.506819
PI-based	25	0.528143
PI-based	26	0.572279
PI-based	27	0.610464
PI-based	28	0.659559
PI-based	29	0.708406
PI-based	30	0.759484
PI-based	31	0.791966
PI-based	32	0.792214
PI-based	33	0.792214
PI-based	34	0.793206
PI-based	35	0.804116
PI-based	36	0.836598
PI-based	37	0.883957
PI-based	38	0.944706
PI-based	39	0.996033
PI-based	40	1.000000
PI-based	41	1.000000
PI-based	42	1.000000
PI-based	43	1.000000
PI-based	44	1.000000
PI-based	45	1.000000
PI-based	46	1.000000
PI-based	47	1.000000
PI-based	48	1.000000
PI-based	49	1.000000
MDPF-2	1	0.010284
MDPF-2	2	0.072723
MDPF-2	3	0.198825
MDPF-2	4	0.456170
MDPF-2	5	0.720372
MDPF-2	6	0.997307
MDPF-2	7	1.000000
MDPF-2	8	1.000000
MDPF-2	9	1.000000
MDPF-2	10	1.000000
MDPF-2	11	1.000000
MDPF-2	12	1.000000
MDPF-2	13	1.000000
MDPF-2	14	1.000000
MDPF-2	15	1.000000
MDPF-2	16	1.000000
MDPF-2	17	1.000000
MDPF-2	18	1.000000
MDPF-2	19	1.000000
MDPF-2	20	1.000000
MDPF-2	21	1.000000
MDPF-2	22	1.000000
MDPF-2	23	1.000000
MDPF-2	24	1.000000
MDPF-2	25	1.000000
MDPF-2	26	1.000000
MDPF-2	27	1.000000
MDPF-2	28	1.000000
MDPF-2	29	1.000000
MDPF-2	30	1.000000
MDPF-2	31	1.000000
MDPF-2	32	1.000000
MDPF-2	33	1.000000
MDPF-2	34	1.000000
MDPF-2	35	1.000000
MDPF-2	36	1.000000
MDPF-2	37	1.000000
MDPF-2	38	1.000000
MDPF-2	39	1.000000
MDPF-2	40	1.000000
MDPF-2	41	1.000000
MDPF-2	42	1.000000
MDPF-2	43	1.000000
MDPF-2	44	1.000000
MDPF-2	45	1.000000
MDPF-2	46	1.000000
MDPF-2	47	1.000000
MDPF-2	48	1.000000
MDPF-2	49	1.000000
