Type	Frequency	DropRate
bestRouting	100	0.0
entropyRouting	100	0.0
bestRouting	200	0.0
entropyRouting	200	0.0
bestRouting	300	0.0
entropyRouting	300	0.0
bestRouting	400	0.0
entropyRouting	400	0.0
bestRouting	500	14.24
entropyRouting	500	0.0
bestRouting	600	64.94
entropyRouting	600	0.0
bestRouting	700	115.66
entropyRouting	700	0.0
bestRouting	800	166.22
entropyRouting	800	0.0
bestRouting	900	216.7
entropyRouting	900	0.0
bestRouting	1000	267.32
entropyRouting	1000	0.04
bestRouting	1100	317.8
entropyRouting	1100	0.62
bestRouting	1200	365.8
entropyRouting	1200	1.46
bestRouting	1300	408.88
entropyRouting	1300	6.96
bestRouting	1400	457.68
entropyRouting	1400	14.16
bestRouting	1500	507.18
entropyRouting	1500	37.22
bestRouting	1600	559.6
entropyRouting	1600	67.72
bestRouting	1700	613.94
entropyRouting	1700	98.92
bestRouting	1800	674.58
entropyRouting	1800	130.3
bestRouting	1900	745.62
entropyRouting	1900	162.52
bestRouting	2000	810.7
entropyRouting	2000	201.46
bestRouting	2100	883.58
entropyRouting	2100	242.02
bestRouting	2200	957.88
entropyRouting	2200	277.22
bestRouting	2300	1031.18
entropyRouting	2300	309.84
bestRouting	2400	1115.36
entropyRouting	2400	363.2
bestRouting	2500	1197.58
entropyRouting	2500	421.88
bestRouting	2600	1583.22
entropyRouting	2600	479.62
bestRouting	2700	1676.34
entropyRouting	2700	534.28
bestRouting	2800	1761.02
entropyRouting	2800	571.62
bestRouting	2900	1844.8
entropyRouting	2900	617.22
bestRouting	3000	1895.64
entropyRouting	3000	666.9
bestRouting	3100	1958.62
entropyRouting	3100	705.46
bestRouting	3200	2050.46
entropyRouting	3200	751.02
bestRouting	3300	2061.24
entropyRouting	3300	794.46
bestRouting	3400	2133.48
entropyRouting	3400	826.2
bestRouting	3500	2200.96
entropyRouting	3500	887.66
bestRouting	3600	2288.42
entropyRouting	3600	948.08
bestRouting	3700	2372.3
entropyRouting	3700	1021.34
bestRouting	3800	2460.96
entropyRouting	3800	1077.82
bestRouting	3900	2542.84
entropyRouting	3900	1132.54
bestRouting	4000	2623.34
entropyRouting	4000	1193.02
bestRouting	4100	2697.72
entropyRouting	4100	1244.16
bestRouting	4200	2792.26
entropyRouting	4200	1311.2
bestRouting	4300	2875.32
entropyRouting	4300	1368.22
bestRouting	4400	2976.06
entropyRouting	4400	1404.22
bestRouting	4500	3057.32
entropyRouting	4500	1472.32
bestRouting	4600	3145.02
entropyRouting	4600	1514.2
bestRouting	4700	3248.04
entropyRouting	4700	1574.0
bestRouting	4800	3347.44
entropyRouting	4800	1615.46
bestRouting	4900	3422.04
entropyRouting	4900	1674.92
bestRouting	5000	3519.38
entropyRouting	5000	1705.78
