Type	SeqNo	FullDelay
bestRouting	701	180.710000
bestRouting	703	180.710000
bestRouting	705	180.710000
bestRouting	706	182.836000
bestRouting	708	182.836000
bestRouting	710	182.836000
bestRouting	712	182.836000
bestRouting	713	182.836000
bestRouting	715	182.836000
bestRouting	717	182.836000
bestRouting	719	182.836000
bestRouting	720	184.962000
bestRouting	722	184.962000
bestRouting	724	184.962000
bestRouting	726	184.962000
bestRouting	727	184.962000
bestRouting	729	184.962000
bestRouting	731	184.962000
bestRouting	733	184.962000
bestRouting	734	187.088000
bestRouting	736	187.088000
bestRouting	738	187.088000
bestRouting	740	187.088000
bestRouting	741	187.088000
bestRouting	743	187.088000
bestRouting	745	187.088000
bestRouting	747	187.088000
bestRouting	748	189.214000
bestRouting	750	189.214000
bestRouting	752	189.214000
bestRouting	754	189.214000
bestRouting	702	985.488000
bestRouting	704	985.488000
bestRouting	707	983.362000
bestRouting	709	983.362000
bestRouting	711	983.362000
bestRouting	714	983.362000
bestRouting	716	983.362000
bestRouting	718	983.362000
bestRouting	721	981.236000
bestRouting	723	981.236000
bestRouting	725	981.236000
bestRouting	728	981.236000
bestRouting	730	981.236000
bestRouting	732	981.236000
bestRouting	735	979.110000
bestRouting	737	979.110000
bestRouting	755	123.198000
bestRouting	739	979.956000
bestRouting	756	125.324000
bestRouting	742	979.956000
bestRouting	757	125.324000
bestRouting	744	979.956000
bestRouting	758	127.450000
bestRouting	746	979.956000
bestRouting	749	976.984000
bestRouting	751	976.984000
bestRouting	753	976.984000
bestRouting	759	123.198000
bestRouting	760	125.324000
bestRouting	761	125.324000
bestRouting	762	127.450000
bestRouting	763	127.450000
bestRouting	764	129.576000
bestRouting	765	129.576000
bestRouting	766	131.702000
bestRouting	767	131.702000
bestRouting	768	133.828000
bestRouting	769	133.828000
bestRouting	770	135.954000
bestRouting	771	135.954000
bestRouting	772	138.080000
bestRouting	773	138.080000
bestRouting	774	140.206000
bestRouting	775	140.206000
bestRouting	776	142.332000
bestRouting	777	142.332000
bestRouting	778	144.458000
bestRouting	779	144.458000
bestRouting	780	146.584000
bestRouting	781	146.584000
bestRouting	782	148.710000
bestRouting	783	148.710000
bestRouting	784	150.836000
bestRouting	785	150.836000
bestRouting	786	152.962000
bestRouting	787	152.962000
bestRouting	788	155.088000
bestRouting	789	155.088000
bestRouting	790	157.214000
bestRouting	791	157.214000
bestRouting	792	159.340000
bestRouting	793	159.340000
bestRouting	794	161.466000
bestRouting	795	161.466000
bestRouting	796	163.592000
bestRouting	797	163.592000
bestRouting	798	165.718000
bestRouting	799	165.718000
bestRouting	800	167.844000
bestRouting	801	167.849000
bestRouting	802	169.975000
bestRouting	803	171.251000
bestRouting	804	173.377000
bestRouting	805	174.227000
bestRouting	807	175.503000
bestRouting	808	177.629000
bestRouting	810	178.479000
bestRouting	812	179.755000
bestRouting	814	180.605000
bestRouting	815	181.881000
bestRouting	817	182.726000
bestRouting	819	182.726000
bestRouting	821	182.726000
