Type	Time	SendNum
deviationRouting	1.000000	5
deviationRouting	2.000000	4
deviationRouting	3.000000	75
deviationRouting	4.000000	468
deviationRouting	5.000000	1228
deviationRouting	6.000000	707
deviationRouting	7.000000	919
deviationRouting	8.000000	1045
deviationRouting	9.000000	359
deviationRouting	10.000000	3
deviationRouting	11.000000	1
deviationRouting	12.000000	2
deviationRouting	13.000000	9
bestRouting	1.000000	253
bestRouting	2.000000	139
bestRouting	3.000000	211
bestRouting	4.000000	271
bestRouting	5.000000	271
bestRouting	6.000000	290
bestRouting	7.000000	233
bestRouting	8.000000	163
bestRouting	9.000000	205
bestRouting	10.000000	253
bestRouting	11.000000	289
bestRouting	12.000000	274
bestRouting	13.000000	247
bestRouting	14.000000	143
bestRouting	15.000000	211
bestRouting	16.000000	269
bestRouting	17.000000	273
bestRouting	18.000000	290
bestRouting	19.000000	233
bestRouting	20.000000	163
bestRouting	21.000000	205
bestRouting	22.000000	81
optimalRouting	1.000000	5
optimalRouting	2.000000	46
optimalRouting	3.000000	218
optimalRouting	4.000000	390
optimalRouting	5.000000	438
optimalRouting	6.000000	494
optimalRouting	7.000000	364
optimalRouting	8.000000	386
optimalRouting	9.000000	456
optimalRouting	10.000000	394
optimalRouting	11.000000	424
optimalRouting	12.000000	330
optimalRouting	13.000000	4
optimalRouting	14.000000	5
optimalRouting	15.000000	1
optimalRouting	16.000000	1
optimalRouting	17.000000	8
optimalRouting	18.000000	1
optimalRouting	19.000000	4
optimalRouting	20.000000	1
optimalRouting	21.000000	2
optimalRouting	22.000000	5
optimalRouting	23.000000	6
optimalRouting	24.000000	60
optimalRouting	25.000000	172
optimalRouting	26.000000	356
optimalRouting	27.000000	308
optimalRouting	28.000000	396
optimalRouting	29.000000	394
optimalRouting	30.000000	412
optimalRouting	31.000000	201
optimalRouting	32.000000	2
optimalRouting	33.000000	1
optimalRouting	34.000000	8
optimalRouting	35.000000	88
optimalRouting	36.000000	262
optimalRouting	37.000000	382
optimalRouting	38.000000	490
optimalRouting	39.000000	324
optimalRouting	40.000000	11
